Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31
Revenue,40.61,36.16,36.01,30.55,42.46,47.29,41.29,36.31,39.75,38.36,35.4,31.04,16.98,20.69,19.89,16.38,-
Revenue Growth (YoY),-4.37%,-23.54%,-12.79%,-15.87%,6.82%,23.29%,16.64%,16.98%,134.12%,85.41%,78.02%,89.56%,-,-,-,-,-
Cost of Revenue,21.3,18.94,20.69,21.6,26.43,25.31,21.02,16.05,24.08,20.87,17.15,11.67,10.37,15.8,8.25,6.98,-
Gross Profit,19.31,17.22,15.32,8.95,16.04,21.98,20.27,20.26,15.67,17.48,18.25,19.37,6.61,4.89,11.64,9.39,-
"Selling, General & Admin",4.27,4.08,4.24,4.22,3.44,4.17,3.68,3.49,3.35,2.32,2.47,2.94,3.54,2.99,3.18,3.26,-
Other Operating Expenses,3.53,2.36,6.41,1.83,2.95,4.05,5.01,2.04,6.04,5.55,5.15,3.94,-0.09,-0.76,2.36,4.67,0
Operating Expenses,7.8,6.44,10.65,6.05,6.39,8.22,8.69,5.53,9.39,7.87,7.61,6.89,3.45,2.23,5.53,7.92,-
Operating Income,11.51,10.78,4.68,2.9,9.65,13.76,11.58,14.73,6.28,9.61,10.64,12.49,3.16,2.66,6.11,1.47,-
Interest Expense / Income,1.25,1.08,0.88,0.48,0.48,0.24,0.31,0.26,0.35,0.33,0.32,0.35,0.24,0.27,0.3,0.23,-
Pretax Income,10.26,9.7,3.79,2.42,9.17,13.53,11.27,14.47,5.93,9.28,10.32,12.14,2.93,2.39,5.81,1.24,-
Income Tax,2.63,2.37,0.72,1.66,2.69,3.35,2.55,3.39,2.71,2.56,1.61,1.65,1.87,0.95,1.47,-0.34,-
Net Income,7.64,7.33,3.07,0.76,6.47,10.17,8.72,11.08,3.22,6.72,8.7,10.49,1.06,1.45,4.34,1.58,-
Net Income Growth,18.00%,-27.92%,-64.77%,-93.16%,100.96%,51.35%,0.16%,5.56%,203.30%,365.05%,100.74%,563.63%,-,-,-,-,-
Shares Outstanding (Basic),26,25,25,25,26,26,26,26,26,24,25,25,25,25,25,25,25
Shares Change,0.74%,-2.67%,-2.48%,-2.32%,0.79%,4.90%,4.89%,1.37%,0.83%,-3.37%,-3.36%,-,-,-,-,-,-
EPS (Basic),0.30,0.29,0.12,0.03,0.26,0.41,0.35,0.44,0.13,0.27,0.36,0.43,0.04,0.06,0.18,0.06,-
EPS (Diluted),0.29,0.28,0.12,0.03,0.25,0.39,0.34,0.43,0.12,0.26,0.34,0.41,0.04,0.06,0.17,0.06,-
EPS Growth,16.00%,-28.21%,-64.71%,-93.02%,108.33%,50.00%,0%,4.88%,200.00%,333.33%,100.00%,583.33%,-,-,-,-,-
Free Cash Flow Per Share,0.42,0.58,-0.13,0.58,0.26,0.17,0.69,0.38,0.73,-0.08,0.45,0.40,0.25,0.22,0.94,-,-
Dividend Per Share,-,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.438,0.402,-,-,-,-,-,-
Dividend Growth,-,0%,0%,0%,0%,-42.92%,-37.81%,-,-,-,-,-,-,-,-,-,-
Gross Margin,47.55%,47.62%,42.55%,29.30%,37.76%,46.48%,49.09%,55.79%,39.42%,45.58%,51.55%,62.41%,38.95%,23.64%,58.53%,57.36%,-
Operating Margin,28.35%,29.81%,12.99%,9.50%,22.71%,29.10%,28.04%,40.55%,15.80%,25.06%,30.05%,40.23%,18.63%,12.87%,30.71%,8.96%,-
Profit Margin,18.81%,20.27%,8.53%,2.48%,15.24%,21.51%,21.11%,30.50%,8.10%,17.52%,24.59%,33.80%,6.25%,6.98%,21.81%,9.65%,-
Free Cash Flow Margin,27.09%,39.94%,-8.77%,47.33%,15.60%,9.24%,42.93%,26.83%,47.07%,-5.21%,31.40%,32.63%,37.13%,26.77%,120.52%,-,-
Effective Tax Rate,25.58%,24.45%,19.01%,68.71%,29.37%,24.80%,22.63%,23.44%,45.70%,27.59%,15.63%,13.55%,63.72%,39.62%,25.36%,-27.29%,-
EBITDA,12.22,11.49,5.39,3.86,10.62,14.9,12.71,15.89,7.4,10.64,11.63,13.54,4.15,3.92,7,-,-
EBITDA Margin,30.08%,31.77%,14.96%,12.64%,25.01%,31.51%,30.79%,43.76%,18.61%,27.73%,32.85%,43.61%,24.45%,18.93%,35.20%,-,-
Depreciation & Amortization,0.71,0.71,0.71,0.96,0.98,1.14,1.13,1.17,1.12,1.02,0.99,1.05,0.99,1.25,0.89,-,-
EBIT,11.51,10.78,4.68,2.9,9.65,13.76,11.58,14.73,6.28,9.61,10.64,12.49,3.16,2.66,6.11,1.47,-
EBIT Margin,28.35%,29.81%,12.99%,9.50%,22.71%,29.10%,28.04%,40.55%,15.80%,25.06%,30.05%,40.23%,18.63%,12.87%,30.71%,8.96%,-
