Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",3.72,1.12,0.21,0.37,0.26,0.12,0.07,0.07,0
Operating Expenses,3.72,1.12,0.21,0.37,0.26,0.12,0.07,0.07,0
Operating Income,-3.72,-1.12,-0.21,-0.37,-0.26,-0.12,-0.07,-0.07,-0
Other Expense / Income,-3.05,-2.43,-1.23,-0.39,-0.03,-0,-,-,-
Pretax Income,-0.67,1.31,1.01,0.02,-0.23,-0.11,-0.07,-0.07,-0
Income Tax,0.63,0.59,0.22,0,0,0,0,0,0
Net Income,-1.3,0.72,0.79,0.02,-0.23,-0.11,-0.07,-0.07,-0
Shares Outstanding (Basic),35,35,35,35,35,11,7,7,5
Shares Outstanding (Diluted),35,35,35,35,35,11,7,7,5
Shares Change,-,202.58%,400.00%,400.00%,590.00%,-,-,-,-
EPS (Basic),-0.04,0.02,0.02,-,-0.01,-1.94,-0.01,-0.01,-
EPS (Diluted),-0.04,0.02,0.02,-,-0.01,-1.94,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-0.03,-0.01,0.00,-0.04,-,-,-,-
Effective Tax Rate,-,44.98%,22.08%,-,-,-,-,-,-
EBITDA,-0.67,1.31,1.01,0.02,-0.23,-0.11,-0.07,-0.07,-0
EBIT,-0.67,1.31,1.01,0.02,-0.23,-0.11,-0.07,-0.07,-0
