Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-23
"Selling, General & Admin",-2.18,0.25,-0.31,-0.23,-0.43,0,0
Operating Expenses,-2.18,0.25,-0.31,-0.23,-0.43,0,0
Operating Income,2.18,-0.25,0.31,0.23,0.43,-0,-0
Other Expense / Income,1.81,-0.54,0.43,0.41,0.84,-,-
Pretax Income,0.37,0.29,-0.12,-0.19,-0.41,-0,-0
Income Tax,0.2,0.1,0.01,0,0,0,0
Net Income,0.17,0.18,-0.13,-0.19,-0.41,-0,-0
Shares Outstanding (Basic),15,15,15,15,6,3,3
Shares Outstanding (Diluted),15,15,15,15,6,3,3
Shares Change,144.41%,502.00%,502.00%,-,-,-,-
EPS (Basic),0.01,0.01,-0.01,-0.01,-0.07,-,-
EPS (Diluted),0.01,0.01,-0.01,-0.01,-0.07,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.02,-0.12,-,-
Effective Tax Rate,54.25%,35.91%,-,-,-,-,-
EBITDA,0.37,0.29,-0.12,-0.19,-0.41,-0,-0
EBIT,0.37,0.29,-0.12,-0.19,-0.41,-0,-0
