Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-16
"Selling, General & Admin",0.36,0.17,0.19,0.07,0.06,0.05,0.03,0,0
Operating Expenses,0.36,0.17,0.19,0.07,0.06,0.05,0.03,0,0
Operating Income,-0.36,-0.17,-0.19,-0.07,-0.06,-0.05,-0.03,-0,-0
Other Expense / Income,0.25,-3.7,-0.97,0.43,-3.42,3.55,-0.09,-,-
Pretax Income,-0.62,3.53,0.78,-0.5,3.36,-3.6,0.06,-0,-0
Net Income,-0.62,3.53,0.78,-0.5,3.36,-3.6,0.06,-0,-0
Net Income Growth,-,-,1194.28%,-,-,-,-,-,-
Shares Outstanding (Basic),4,13,14,14,14,14,14,3,3
Shares Outstanding (Diluted),4,13,14,14,14,14,14,3,3
Shares Change,-71.17%,-9.36%,-,479.60%,479.60%,-,-,-,-
EPS (Basic),-0.15,0.29,0.05,-0.04,0.23,-0.25,0.00,-,-
EPS (Diluted),-0.15,0.29,0.05,-0.04,0.23,-0.25,0.00,-,-
EPS Growth,-,-,1250.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.01,-0.01,-0.00,-0.00,-,-,-0.01
EBITDA,-0.62,3.53,0.78,-0.5,3.36,-3.6,-,-,-0
EBIT,-0.62,3.53,0.78,-0.5,3.36,-3.6,0.06,-0,-0
