Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,44.9,47.27,46.11,45.33,43.64,43.5,43.45,44.19,42.46,45,43.9,23.33,29.22,31.21,29.25,27.33,24.31,23.73,24.64,23.78,22.92,22.35,22.31,21.56,21.26,21.38,21.02,-
Revenue Growth (YoY),2.91%,8.66%,6.12%,2.58%,2.76%,-3.34%,-1.01%,89.40%,45.32%,44.20%,50.08%,-14.62%,20.18%,31.50%,18.68%,14.92%,6.06%,6.20%,10.48%,10.31%,7.83%,4.50%,6.11%,-,-,-,-,-
Gross Profit,44.9,47.27,46.11,45.33,43.64,43.5,43.45,44.19,42.46,45,43.9,23.33,29.22,31.21,29.25,27.33,24.31,23.73,24.64,23.78,22.92,22.35,22.31,21.56,21.26,21.38,21.02,-
"Selling, General & Admin",25.3,26.02,24.18,23.48,23.8,22.81,22.37,23.1,22.12,22.97,21.92,18.8,17.76,18.47,16.77,16.19,14.91,14.9,14.54,14.29,13.97,13.26,12.82,13.06,13,13,12.64,-
Other Operating Expenses,2.6,3.18,2.02,2.57,2.07,2.33,2.37,2.18,2.1,2.33,2.35,2.42,1.91,2.12,1.75,1.87,1.38,1.75,1.34,1.48,1.53,1.76,1.78,1.67,1.94,1.6,1.52,0
Operating Expenses,27.9,29.21,26.19,26.05,25.88,25.14,24.74,25.27,24.22,25.3,24.28,21.22,19.67,20.59,18.52,18.06,16.28,16.64,15.88,15.77,15.5,15.01,14.6,14.73,14.95,14.6,14.16,-
Operating Income,17,18.06,19.92,19.28,17.76,18.36,18.71,18.92,18.24,19.7,19.62,2.11,9.55,10.63,10.72,9.26,8.03,7.09,8.76,8.01,7.42,7.34,7.7,6.82,6.31,6.79,6.86,-
Other Expense / Income,0.42,2.66,0.15,0.25,-,0.33,0.79,-,-,1.83,1.17,4.37,0.25,0.84,0.34,3.45,0.09,0.2,-,-,-,-,-,-,-,-,-,-
Pretax Income,16.58,15.4,19.77,19.03,17.76,18.03,17.93,18.92,18.24,17.88,18.45,-2.26,9.29,9.78,10.38,5.81,7.94,6.89,8.76,8.01,7.42,7.34,7.7,6.82,6.31,6.79,6.86,-
Income Tax,4.16,4.08,5.15,5.38,4.44,4.77,4.61,4.97,4.74,4.86,5.02,-0.54,2.06,2.67,2.71,1.54,1.74,1.59,2.11,1.9,1.62,6.37,2.69,2.31,1.98,2.37,2.28,-
Net Income,12.42,11.32,14.62,13.66,13.32,13.26,13.32,13.94,13.5,13.02,13.43,-1.72,7.23,7.11,7.68,4.27,6.2,5.31,6.66,6.11,5.81,0.96,5.01,4.51,4.33,4.42,4.58,-
Net Income Growth,-6.76%,-14.65%,9.74%,-2.05%,-1.36%,1.90%,-0.82%,-,86.66%,83.03%,74.95%,-,16.68%,34.02%,15.27%,-30.09%,6.77%,450.41%,32.91%,35.38%,34.13%,-78.20%,9.51%,-,-,-,-,-
Shares Outstanding (Basic),8,8,7,7,7,7,7,7,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
Shares Outstanding (Diluted),8,8,7,7,7,7,7,7,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,-
Shares Change,11.63%,11.96%,0.27%,0.40%,0.34%,-0.67%,0.65%,18.37%,28.63%,40.99%,43.60%,25.39%,32.28%,21.48%,18.08%,15.17%,0.85%,0.82%,0.76%,0.64%,0.52%,1.16%,0.66%,3.31%,-,-,-,-
EPS (Basic),1.59,1.41,2.09,1.95,1.91,1.90,1.91,2.00,1.95,1.96,1.94,-0.29,1.34,1.43,1.58,0.91,1.51,1.29,1.62,1.49,1.42,0.24,1.23,1.11,1.07,1.10,1.13,-
EPS (Diluted),1.58,1.40,2.07,1.94,1.89,1.89,1.89,1.98,1.92,1.94,1.93,-0.29,1.33,1.42,1.57,0.90,1.49,1.28,1.61,1.48,1.41,0.24,1.22,1.10,1.06,1.06,1.13,-
EPS Growth,-16.40%,-25.93%,9.52%,-2.02%,-1.56%,-2.58%,-2.07%,-,44.36%,36.62%,22.93%,-,-10.74%,10.94%,-2.48%,-39.19%,5.67%,433.33%,31.97%,34.55%,33.02%,-77.36%,7.96%,-,-,-,-,-
Free Cash Flow Per Share,0.54,3.64,2.97,-0.13,0.31,1.80,2.96,2.77,1.62,2.08,1.54,0.55,1.16,2.06,2.13,0.90,0.56,1.60,1.85,0.96,1.22,1.48,1.59,1.44,2.69,0.60,-,-
Dividend Per Share,0.670,0.640,0.640,0.640,0.640,0.610,0.610,0.610,0.550,0.530,0.530,0.530,0.530,0.510,0.510,0.510,0.510,0.500,0.500,0.480,0.480,0.470,-,-,-,-,-,-
Dividend Growth,4.69%,4.92%,4.92%,4.92%,16.36%,15.09%,15.09%,15.09%,3.77%,3.92%,3.92%,3.92%,3.92%,2.00%,2.00%,6.25%,6.25%,6.38%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,37.86%,38.21%,43.20%,42.53%,40.70%,42.21%,43.07%,42.81%,42.96%,43.78%,44.69%,9.04%,32.67%,34.04%,36.66%,33.90%,33.03%,29.88%,35.56%,33.70%,32.38%,32.82%,34.54%,31.65%,29.69%,31.75%,32.63%,-
Profit Margin,27.65%,23.95%,31.70%,30.13%,30.52%,30.49%,30.65%,31.56%,31.79%,28.92%,30.59%,-7.36%,24.75%,22.78%,26.25%,15.63%,25.49%,22.36%,27.02%,25.70%,25.33%,4.31%,22.46%,20.94%,20.36%,20.68%,21.76%,-
Free Cash Flow Margin,9.39%,59.84%,44.84%,-2.06%,4.92%,28.74%,47.24%,43.53%,26.42%,32.03%,24.26%,13.95%,21.43%,32.57%,35.01%,15.49%,9.29%,27.39%,30.58%,16.41%,21.51%,26.70%,28.71%,26.95%,50.72%,11.29%,-,-
Effective Tax Rate,25.09%,26.50%,26.06%,28.24%,25.02%,26.45%,25.70%,26.28%,26.00%,27.20%,27.21%,-,22.18%,27.32%,26.08%,26.50%,21.92%,23.00%,24.02%,23.73%,21.78%,86.86%,34.97%,33.84%,31.43%,34.85%,33.30%,-
EBITDA,16.81,15.39,20.24,19.25,17.81,18.1,17.87,17.83,17.48,15.57,14.92,-4.63,9.37,10.06,10.04,6.31,8.33,7.33,9.3,8.47,7.89,7.81,8.18,7.33,6.8,7.34,-,-
EBITDA Margin,37.44%,32.56%,43.89%,42.46%,40.82%,41.61%,41.12%,40.35%,41.16%,34.59%,34.00%,-19.85%,32.07%,32.24%,34.34%,23.09%,34.27%,30.86%,37.73%,35.61%,34.40%,34.96%,36.65%,34.01%,32.00%,34.33%,-,-
Depreciation & Amortization,0.24,-0.01,0.47,0.22,0.05,0.07,-0.06,-1.08,-0.76,-2.31,-3.53,-2.38,0.08,0.28,-0.34,0.5,0.39,0.43,0.54,0.46,0.46,0.48,0.47,0.51,0.49,0.55,-,-
EBIT,16.58,15.4,19.77,19.03,17.76,18.03,17.93,18.92,18.24,17.88,18.45,-2.26,9.29,9.78,10.38,5.81,7.94,6.89,8.76,8.01,7.42,7.34,7.7,6.82,6.31,6.79,6.86,-
EBIT Margin,36.91%,32.58%,42.87%,41.99%,40.70%,41.45%,41.26%,42.81%,42.96%,39.72%,42.03%,-9.67%,31.81%,31.35%,35.50%,21.27%,32.65%,29.04%,35.56%,33.70%,32.38%,32.82%,34.54%,31.65%,29.69%,31.75%,32.63%,-
