Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.62,0.87,0.32,0.21,-,0,0
Operating Expenses,0.62,0.87,0.32,0.21,-,0,0
Operating Income,-0.62,-0.87,-0.32,-0.21,-,0,-0
Other Expense / Income,-2.35,-1.11,-1.14,-1.56,-,-,-
Pretax Income,1.72,0.23,0.82,1.35,-,0,-0
Income Tax,0.29,0,0,0,-,0,0
Net Income,1.43,0.23,0.82,1.35,-,0,-0
Shares Outstanding (Basic),14,14,14,14,6,3,3
Shares Outstanding (Diluted),14,14,14,14,-,3,3
Shares Change,157.67%,477.30%,477.30%,-,-,-,-
EPS (Basic),0.10,0.02,0.06,-0.09,-,-,-
EPS (Diluted),0.10,0.02,0.06,-0.09,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.03,-0.03,-,-
Effective Tax Rate,16.85%,-,-,-,-,-,-
EBITDA,1.72,0.23,0.82,1.35,-,0,-0
EBIT,1.72,0.23,0.82,1.35,-,0,-0
