Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.22,0.21,0.2,0.2,0.14,0.25,0.23,0.04,0
Operating Expenses,0.22,0.21,0.2,0.2,0.14,0.25,0.23,0.04,0
Operating Income,-0.22,-0.21,-0.2,-0.2,-0.14,-0.25,-0.23,-0.04,-0
Other Expense / Income,-2.68,-2.32,-1.6,-2.32,-2.08,-2.4,3.84,-2.55,-
Pretax Income,2.46,2.11,1.39,2.12,1.95,2.15,-4.07,2.51,-0
Income Tax,0.52,0.27,0.02,0,0,0,0,0,0
Net Income,1.94,1.85,1.37,2.12,1.95,2.15,-4.07,2.51,-0
Net Income Growth,-0.39%,-14.12%,-,-15.58%,-,-,-,-,-
Shares Outstanding (Basic),38,38,38,38,38,38,38,20,6
Shares Outstanding (Diluted),38,38,38,38,38,38,38,20,6
Shares Change,-0.13%,-,-,91.51%,513.59%,-,-,-,-
EPS (Basic),0.05,0.05,0.04,0.06,0.06,0.06,-0.11,0.13,-
EPS (Diluted),0.05,0.05,0.04,0.06,0.06,0.06,-0.11,0.13,-
EPS Growth,-16.67%,-16.67%,-,-53.85%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,0.00,-0.02,-
Effective Tax Rate,21.07%,12.66%,1.70%,-,-,-,-,-,-
EBITDA,2.46,2.11,1.39,2.12,1.95,2.15,-4.07,2.51,-0
EBIT,2.46,2.11,1.39,2.12,1.95,2.15,-4.07,2.51,-0
