Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.43,0.36,0.34,0.35,0.37,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,-0,0
Operating Expenses,0.48,0.41,0.39,0.4,0.42,-0,0.01
Operating Income,-0.48,-0.41,-0.39,-0.4,-0.42,0,-0.01
Other Expense / Income,-4.61,-8.57,-4.43,-6.91,1.6,-,-
Pretax Income,4.13,8.16,4.04,6.5,-2.02,0,-0.01
Income Tax,0.79,0.58,0.05,0,0,0,0
Net Income,3.34,7.58,3.99,6.5,-2.02,0,-0.01
Net Income Growth,-,1791439.24%,-,-,-,-,-
Shares Outstanding (Basic),66,66,66,66,58,6,13
Shares Outstanding (Diluted),66,66,66,66,58,6,13
Shares Change,13.06%,931.47%,400.00%,-,-,-,-
EPS (Basic),-0.12,0.06,0.02,0.10,-0.72,-,-
EPS (Diluted),-0.12,0.06,0.02,0.10,-0.72,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.03,-0.03,-
Effective Tax Rate,19.08%,7.11%,1.27%,-,-,-,-
EBITDA,4.13,8.16,4.04,6.5,-2.02,0,-
EBIT,4.13,8.16,4.04,6.5,-2.02,0,-0.01
