Metrics,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31
Revenue,13.76,-3.13,20.26,20.15,1.31,3.74
Revenue Growth (YoY),947.60%,-,-,-,-,-
Cost of Revenue,7.36,26.52,-7.05,2.64,6.34,-1.28
Gross Profit,6.39,-29.65,27.3,17.51,-5.03,5.02
"Selling, General & Admin",4.06,12.79,-1.94,1.31,3.33,-0.33
Other Operating Expenses,130.38,68.61,-9.42,10.64,6.42,-0.63
Operating Expenses,134.44,81.4,-11.36,11.95,9.74,-0.97
Operating Income,-128.05,-111.05,38.66,5.56,-14.78,5.99
Interest Expense / Income,10.35,-159.11,1.91,-70.7,58.04,2.93
Other Expense / Income,5.97,-114.08,44.57,2.79,-15.23,2.4
Pretax Income,-144.37,162.15,-7.82,73.47,-57.59,0.66
Income Tax,-0.41,-1.61,-4.25,3.15,1.24,0
Net Income,-143.95,163.76,-3.57,70.32,-58.82,0.66
Net Income Growth,-,24749.17%,-,-,-,-
Shares Outstanding (Basic),53,55,55,55,55,-
Shares Change,-4.37%,-,-,-,-,-
EPS (Basic),-271.46,554.93,-6.74,190.15,-285.10,3.13
EPS (Diluted),-271.46,554.93,-6.74,-68.26,-285.10,3.07
EPS Growth,-,17975.90%,-,-,-,-
Free Cash Flow Per Share,-,0.04,-,-,-0.02,-
Gross Margin,46.48%,-,134.78%,86.92%,-383.17%,134.29%
Operating Margin,-930.91%,-,190.85%,27.60%,-1125.29%,160.10%
Profit Margin,-1046.56%,-,-17.63%,349.05%,-4480.12%,17.63%
Free Cash Flow Margin,-,-,-,-,-72.66%,-
Effective Tax Rate,-,-0.99%,-,4.29%,-,-
EBITDA,-,3.03,-,-,0.46,-
EBITDA Margin,-,-,-,-,34.81%,-
EBIT,-134.02,3.03,-5.91,2.77,0.46,3.59
EBIT Margin,-974.30%,-,-29.18%,13.77%,34.81%,95.93%
