Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31
Revenue,7.78,9.13,6.82,8.57,13.39,10.4,28.34,43.95,12.46,7.91,0.67,0.02,0,0,-,-,-,-,-,-
Revenue Growth (YoY),-41.91%,-12.17%,-75.96%,-80.49%,7.41%,31.44%,4102.24%,240989.63%,-,-,-,-,-,-,-,-,-,-,-,-
Cost of Revenue,6.02,6.5,3.58,4.27,4.78,2.61,10.88,12.47,7.24,6.21,0.64,0.02,0,0,-,-,-,-,-,-
Gross Profit,1.76,2.63,3.23,4.31,8.61,7.79,17.46,31.49,5.22,1.7,0.04,-0,0,0,-,-,-,-,-,-
"Selling, General & Admin",8.01,6.23,4.6,4.27,13.05,19.55,4.34,2.23,1.31,0.41,0.22,0.12,0.21,1.79,-,-,-,-,-,-
Other Operating Expenses,56.29,10.63,5.32,3.8,8.54,3.67,2.35,3.65,1.65,1.17,0.07,0,0,0,0,0,0,0,0,0
Operating Expenses,64.3,16.86,9.92,8.07,21.58,23.21,6.68,5.88,2.96,1.58,0.29,0.12,0.21,1.79,-,-,-,-,-,-
Operating Income,-62.55,-14.23,-6.69,-3.77,-12.98,-15.42,10.77,25.61,2.27,0.12,-0.25,-0.12,-0.21,-1.79,-,-,-,-,-,-
Other Expense / Income,0.71,-0.09,10.26,7.76,-0.2,3.79,12.01,-10.46,-0.02,0.12,-0,3.73,-,1.22,-,-,-,-,-,-
Pretax Income,-63.26,-14.14,-16.95,-11.53,-12.77,-19.21,-1.24,36.07,2.28,0,-0.25,-3.85,-0.21,-3.01,-,-,-,-,-,-
Income Tax,-0.61,0.2,1.17,-1.35,2.53,0.94,0.1,0.28,0,0,0,0,0,0,-,-,-,-,-,-
Net Income,-62.65,-14.34,-18.12,-10.18,-15.31,-20.15,-1.34,35.79,2.28,0,-0.25,-3.85,-0.21,-3.01,-,-,-,-,-,-
Shares Outstanding (Basic),83,83,80,70,55,55,50,48,31,42,19,15,15,15,15,14,14,7,1,0
Shares Outstanding (Diluted),83,83,80,70,55,55,50,48,31,42,19,-,15,15,-,-,-,-,-,-
Shares Change,48.93%,52.41%,60.04%,44.18%,81.23%,29.27%,156.91%,224.12%,98.63%,174.67%,29.94%,3.52%,10.15%,125.96%,2723.11%,55253.85%,-,-,-,-
EPS (Basic),-0.79,-0.17,-0.23,-0.15,-0.30,-0.37,-0.03,0.74,0.11,-,-0.01,-0.25,0.01,-0.20,-,-,-,-,-,-
EPS (Diluted),-0.79,-0.17,-0.23,-0.15,-0.30,-0.37,-0.03,0.74,0.11,-,-0.01,-0.25,0.01,-0.20,-,-,-,-,-,-
EPS Growth,-,-,-,-,-,-,-,-,1000.00%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,0.10,-0.20,-0.25,-1.01,-0.05,-0.05,-0.07,0.72,-0.36,-0.62,-0.01,-0.14,0.17,-,-,-,-,-,-
Gross Margin,22.57%,28.81%,47.41%,50.22%,64.29%,74.91%,61.60%,71.63%,41.92%,21.48%,5.57%,-4.70%,-,-,-,-,-,-,-,-
Operating Margin,-804.28%,-155.84%,-98.16%,-43.93%,-96.94%,-148.37%,38.01%,58.27%,18.18%,1.54%,-37.74%,-657.31%,-,-,-,-,-,-,-,-
Profit Margin,-805.64%,-157.03%,-265.95%,-118.73%,-114.35%,-193.82%,-4.73%,81.42%,18.31%,0.00%,-37.11%,-21142.88%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-19.24%,91.63%,-233.35%,-206.63%,-416.42%,-28.27%,-8.06%,-7.34%,175.71%,-191.77%,-1791.83%,-670.61%,-,-,-,-,-,-,-,-
Effective Tax Rate,-,-,-,-,-,-,-,0.78%,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-53.87,-4.83,-11.63,-7.73,-9.46,-15.41,1.11,39.72,4.36,1.17,-0.18,-3.85,-0.21,-3.01,-,-,-,-,-,-
EBITDA Margin,-692.64%,-52.90%,-170.67%,-90.18%,-70.64%,-148.27%,3.92%,90.37%,35.02%,14.81%,-27.11%,-21126.12%,-,-,-,-,-,-,-,-
Depreciation & Amortization,9.4,9.31,5.32,3.8,3.32,3.8,2.35,3.65,2.08,1.17,0.07,0,0,0,-,-,-,-,-,-
EBIT,-63.26,-14.14,-16.95,-11.53,-12.77,-19.21,-1.24,36.07,2.28,0,-0.25,-3.85,-0.21,-3.01,-,-,-,-,-,-
EBIT Margin,-813.46%,-154.89%,-248.77%,-134.50%,-95.42%,-184.79%,-4.37%,82.06%,18.31%,0.00%,-37.11%,-21142.88%,-,-,-,-,-,-,-,-
