Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.72,0.31,0.5,0.4,0.43,0,0
Operating Expenses,0.72,0.31,0.5,0.4,0.43,0,0
Operating Income,-0.72,-0.31,-0.5,-0.4,-0.43,0,0
Other Expense / Income,-2.93,-2.42,-3.28,-5.47,-4.26,-,-
Pretax Income,2.21,2.12,2.78,5.06,3.83,0,0
Income Tax,0.42,0.21,0.02,0,0,0,0
Net Income,1.8,1.91,2.76,5.06,3.83,0,0
Net Income Growth,-53.06%,-,-,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,5,5,5
Shares Outstanding (Diluted),6,6,6,6,5,5,5
Shares Change,21.90%,15.00%,15.00%,-,-,-,-
EPS (Basic),0.06,0.07,0.10,-0.18,0.44,-,-
EPS (Diluted),0.06,0.07,0.10,-0.18,0.44,-,-
EPS Growth,-86.36%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.05,-0.02,-0.06,-0.09,-,-
Effective Tax Rate,18.75%,10.04%,0.64%,-,-,-,-
EBITDA,2.21,2.12,2.78,5.06,3.83,0,0
EBIT,2.21,2.12,2.78,5.06,3.83,0,0
