Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",1.04,0.52,0.52,0.03,0.02
Operating Expenses,1.04,0.52,0.52,0.03,0.02
Operating Income,-1.04,-0.52,-0.52,-0.03,-0.02
Other Expense / Income,1.98,-0.47,-0.09,-,-
Pretax Income,-3.02,-0.04,-0.43,-0.03,-0.02
Income Tax,0.07,0.14,0.03,0,0
Net Income,-3.09,-0.18,-0.46,-0.03,-0.02
Shares Outstanding (Basic),8,12,7,2,2
Shares Outstanding (Diluted),8,12,7,2,2
Shares Change,307.62%,-,-,-,-
EPS (Basic),-0.36,-0.02,-0.06,-0.01,-0.01
EPS (Diluted),-0.36,-0.02,-0.06,-0.01,-0.01
Free Cash Flow Per Share,-0.01,-0.02,-0.04,-0.01,-0.01
EBITDA,-3.02,-0.04,-0.43,-0.03,-0.02
EBIT,-3.02,-0.04,-0.43,-0.03,-0.02
