Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Revenue,91.8,122.7,86.8,95.5,112.2,162.9,117.9,133.3,109.7,120.8,127.5,122.6,146.7,-17.5,197.8,207.1,207.2,214.5,230.1,233.9,249.7,249.2,223.2,218.8,196.2,186.6,170.8,156.5,149.6,163.4,161.8,213.5,160.6,266.5,260,260.3,269.4,248.3,209.7
Revenue Growth (YoY),-18.18%,-24.68%,-26.38%,-28.36%,2.28%,34.85%,-7.53%,8.73%,-25.22%,-,-35.54%,-40.80%,-29.20%,-,-14.04%,-11.46%,-17.02%,-13.92%,3.09%,6.90%,27.27%,33.55%,30.68%,39.81%,31.15%,14.20%,5.56%,-26.70%,-6.85%,-38.69%,-37.77%,-17.98%,-40.39%,7.33%,23.99%,-,-,-,-
Gross Profit,91.8,122.7,86.8,95.5,112.2,162.9,117.9,133.3,109.7,120.8,127.5,122.6,146.7,-17.5,197.8,207.1,207.2,214.5,230.1,233.9,249.7,249.2,223.2,218.8,196.2,186.6,170.8,156.5,149.6,163.4,161.8,213.5,160.6,266.5,260,260.3,269.4,248.3,209.7
"Selling, General & Admin",67.5,70.7,52.4,43.5,63.7,109,83.7,91.4,71.7,88.8,88.3,87.6,73.7,-72.4,139.7,154.8,133.6,179.3,211.2,213.2,218.7,216.4,209.8,201.1,168.4,151.9,127.2,110.2,106.4,120.5,117,148.9,114.6,144.5,150.4,113.1,105.3,123.1,100
Other Operating Expenses,4.5,4.1,4.3,5.3,5.3,5.4,5.5,5.8,5.5,5.1,5,5.1,21.5,-0.8,6.2,5.7,5.6,5.6,5.6,5.4,5.4,6.5,5.1,4.8,4.3,4.3,3.4,2.3,2.2,2,1.8,1.7,1.6,95,95.5,158.4,125.7,112.1,90.4
Operating Expenses,72,74.8,56.7,48.8,69,114.4,89.2,97.2,77.2,93.9,93.3,92.7,95.2,-73.2,145.9,160.5,139.2,184.9,216.8,218.6,224.1,222.9,214.9,205.9,172.7,156.2,130.6,112.5,108.6,122.5,118.8,150.6,116.2,239.5,245.9,271.5,231,235.2,190.4
Operating Income,19.8,47.9,30.1,46.7,43.2,48.5,28.7,36.1,32.5,26.9,34.2,29.9,51.5,55.7,51.9,46.6,68,29.6,13.3,15.3,25.6,26.3,8.3,12.9,23.5,30.4,40.2,44,41,40.9,43,62.9,44.4,27,14.1,-11.2,38.4,13.1,19.3
Interest Expense / Income,4.9,4.6,4.6,4.8,6.5,6.1,6.2,6.3,6.2,6.4,6.9,7.4,7.8,8.1,8.3,8.8,7,6.2,6.3,6.1,6.3,6.3,6.4,5.9,5.9,5.9,4.4,0.5,0.5,0.9,0.6,0.7,0.9,36.9,48.9,51.2,49.2,59.2,41.9
Other Expense / Income,-2.2,-1.5,0.2,0.6,3.3,-13.3,-221.5,-512.8,-9.8,-253,-19.2,-5.2,4.7,-27,0.2,-4.3,-13.3,-15.7,-3.6,3.5,-66.7,-62.5,-11.7,-6.9,-9.4,-7.8,-5.5,-5.9,-3.7,-2.6,-5.3,-3.2,-2.9,-46.8,-27.1,-79.4,-29.1,-55.7,-34.4
Pretax Income,17.1,44.8,25.3,41.3,33.4,55.7,244,542.6,36.1,273.5,46.5,27.7,39,74.6,43.4,42.1,74.3,39.1,10.6,5.7,86,82.5,13.6,13.9,27,32.3,41.3,49.4,44.2,42.6,47.7,65.4,46.4,36.9,-7.7,17,18.3,9.6,11.8
Income Tax,5.1,14.4,7.5,12.7,9.6,16.5,14.5,9.9,9.1,75.5,9.3,8.8,6.4,6.8,-32,14.1,21.6,16.1,-43.4,3.6,28.7,131.3,-5.1,1,5.6,7,7.3,13.1,13.4,5.7,12.7,16,12.2,2.6,-6,8.2,8,2.5,4.9
Net Income,12,30.4,17.8,28.6,23.8,39.2,229.5,532.7,27,198,37.2,18.9,32.6,67.8,75.4,28,52.7,23,54,2.1,57.3,-48.8,18.7,12.9,21.4,25.3,34,36.3,30.8,36.9,35,49.4,34.2,34.3,-1.7,8.8,10.3,7.1,6.9
Net Income Growth,-49.58%,-22.45%,-92.24%,-94.63%,-11.85%,-80.20%,516.94%,2718.52%,-17.18%,192.04%,-50.66%,-32.50%,-38.14%,194.78%,39.63%,1233.33%,-8.03%,-,188.77%,-83.72%,167.76%,-,-45.00%,-64.46%,-30.52%,-31.44%,-2.86%,-26.52%,-9.94%,7.58%,-,461.36%,232.04%,383.10%,-,-,-,-,-
Shares Outstanding (Basic),41,42,41,41,44,71,80,79,79,80,80,80,85,86,90,92,98,105,106,108,109,109,109,111,114,118,119,119,120,120,120,120,120,120,120,120,120,120,-
Shares Outstanding (Diluted),43,43,42,43,45,74,83,83,82,82,81,80,85,86,90,92,98,106,107,109,110,110,110,112,114,119,120,120,120,121,121,121,120,120,120,120,120,-,-
Shares Change,-5.74%,-42.12%,-49.04%,-48.73%,-44.96%,-9.91%,2.84%,3.11%,-3.29%,-4.89%,-10.11%,-12.13%,-12.99%,-18.81%,-15.49%,-15.75%,-10.77%,-3.73%,-2.92%,-2.86%,-4.20%,-7.34%,-8.35%,-6.52%,-4.67%,-1.58%,-0.66%,-0.75%,-0.33%,0.42%,0.42%,0.42%,0.33%,-,-,-,-,-,-
EPS (Basic),0.29,0.73,0.43,0.69,0.54,0.80,2.88,6.71,0.34,2.45,0.46,0.23,0.38,0.77,0.84,0.31,0.54,0.22,0.51,0.02,0.52,-0.43,0.17,0.12,0.19,0.21,0.28,0.30,0.26,0.31,0.29,0.41,0.28,0.28,-0.01,0.07,0.09,-,-
EPS (Diluted),0.28,0.71,0.42,0.67,0.53,0.76,2.76,6.42,0.33,2.41,0.46,0.23,0.38,0.77,0.84,0.31,0.54,0.22,0.51,0.02,0.52,-0.43,0.17,0.11,0.19,0.21,0.28,0.30,0.26,0.31,0.29,0.41,0.28,0.28,-0.01,0.07,0.09,-,-
EPS Growth,-47.17%,-6.58%,-84.78%,-89.56%,60.61%,-68.46%,500.00%,2691.30%,-13.16%,212.99%,-45.24%,-25.81%,-29.63%,250.00%,64.71%,1450.00%,3.85%,-,200.00%,-81.82%,173.68%,-,-39.29%,-63.33%,-26.92%,-32.26%,-3.45%,-26.83%,-7.14%,10.71%,-,485.71%,211.11%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.94,1.21,0.70,0.97,-0.42,-0.43,-0.43,0.78,-0.30,-0.07,0.30,1.07,-0.46,0.45,0.79,0.20,-3.07,0.43,0.43,1.11,-0.35,-0.33,0.99,0.67,-0.18,0.64,0.17,0.50,-0.26,0.51,0.44,1.22,-0.16,0.24,1.15,0.13,-0.30,0.86,-
Dividend Per Share,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.200,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.090,0.090,0.090,0.090,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,-,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,0%,0%,0%,0%,-95.00%,-90.00%,-90.00%,-90.00%,100.00%,0%,0%,0%,11.11%,11.11%,11.11%,11.11%,12.50%,12.50%,12.50%,12.50%,0%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,21.57%,39.04%,34.68%,48.90%,38.50%,29.77%,24.34%,27.08%,29.63%,22.27%,26.82%,24.39%,35.11%,-,26.24%,22.50%,32.82%,13.80%,5.78%,6.54%,10.25%,10.55%,3.72%,5.90%,11.98%,16.29%,23.54%,28.12%,27.41%,25.03%,26.58%,29.46%,27.65%,10.13%,5.42%,-4.30%,14.25%,5.28%,9.20%
Profit Margin,13.07%,24.78%,20.51%,29.95%,21.21%,24.06%,194.66%,399.62%,24.61%,163.91%,29.18%,15.42%,22.22%,-,38.12%,13.52%,25.43%,10.72%,23.47%,0.90%,22.95%,-19.58%,8.38%,5.90%,10.91%,13.56%,19.91%,23.19%,20.59%,22.58%,21.63%,23.14%,21.30%,12.87%,-0.65%,3.38%,3.82%,2.86%,3.29%
Free Cash Flow Margin,-42.27%,40.83%,33.29%,41.99%,-16.40%,-18.78%,-28.84%,46.36%,-21.70%,-4.88%,18.82%,70.39%,-26.93%,-,36.10%,8.74%,-144.69%,21.03%,19.95%,51.69%,-15.42%,-14.21%,48.39%,34.00%,-10.70%,40.25%,11.89%,37.96%,-20.45%,37.58%,32.45%,68.57%,-12.27%,10.96%,53.12%,6.03%,-13.55%,41.44%,-
Effective Tax Rate,29.82%,32.14%,29.64%,30.75%,28.74%,29.62%,5.94%,1.82%,25.21%,27.61%,20.00%,31.77%,16.41%,9.12%,-73.73%,33.49%,29.07%,41.18%,-409.43%,63.16%,33.37%,159.15%,-37.50%,7.19%,20.74%,21.67%,17.68%,26.52%,30.32%,13.38%,26.62%,24.46%,26.29%,7.05%,-,48.24%,43.72%,26.04%,41.53%
EBITDA,25.8,53.1,34.2,51.4,45.2,67.2,255.7,554.7,47.8,284.9,58.3,40.2,51.9,82,57.7,56.6,86.7,50.9,22.2,17,97.3,93.7,24.8,24.3,37,41.9,49.5,52.2,46.9,45.5,50.1,67.8,48.9,203.9,42.7,69.8,68.9,212.9,-
EBITDA Margin,28.10%,43.28%,39.40%,53.82%,40.29%,41.25%,216.88%,416.13%,43.57%,235.84%,45.73%,32.79%,35.38%,-,29.17%,27.33%,41.84%,23.73%,9.65%,7.27%,38.97%,37.60%,11.11%,11.11%,18.86%,22.45%,28.98%,33.35%,31.35%,27.85%,30.96%,31.76%,30.45%,76.51%,16.42%,26.82%,25.58%,85.74%,-
Depreciation & Amortization,3.8,3.7,4.3,5.3,5.3,5.4,5.5,5.8,5.5,5,4.9,5.1,5.1,-0.7,6,5.7,5.4,5.6,5.3,5.2,5,4.9,4.8,4.5,4.1,3.7,3.8,2.3,2.2,2,1.8,1.7,1.6,130.1,1.5,1.6,1.4,144.1,-
EBIT,22,49.4,29.9,46.1,39.9,61.8,250.2,548.9,42.3,279.9,53.4,35.1,46.8,82.7,51.7,50.9,81.3,45.3,16.9,11.8,92.3,88.8,20,19.8,32.9,38.2,45.7,49.9,44.7,43.5,48.3,66.1,47.3,73.8,41.2,68.2,67.5,68.8,53.7
EBIT Margin,23.97%,40.26%,34.45%,48.27%,35.56%,37.94%,212.21%,411.78%,38.56%,231.71%,41.88%,28.63%,31.90%,-,26.14%,24.58%,39.24%,21.12%,7.34%,5.04%,36.96%,35.63%,8.96%,9.05%,16.77%,20.47%,26.76%,31.88%,29.88%,26.62%,29.85%,30.96%,29.45%,27.69%,15.85%,26.20%,25.06%,27.71%,25.61%
