Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-05
"Selling, General & Admin",0.84,1.36,0.43,0.29,0.67,1.14,0.81,0.78,0.31,0.11,0
Operating Expenses,0.84,1.36,0.43,0.29,0.67,1.14,0.81,0.78,0.31,0.11,0
Operating Income,-0.84,-1.36,-0.43,-0.29,-0.67,-1.14,-0.81,-0.78,-0.31,-0.11,-0
Other Expense / Income,-0.42,-1.36,-1.28,-2.7,-3.51,-4.04,-2.67,-1.16,0.06,0.6,-
Pretax Income,-0.42,0.01,0.85,2.41,2.84,2.9,1.86,0.38,-0.37,-0.71,-0
Income Tax,0.03,0.35,0.19,0.03,0,0,0,0,0,0,0
Net Income,-0.45,-0.34,0.66,2.39,2.84,2.9,1.86,0.38,-0.37,-0.71,-0
Net Income Growth,-,-,-64.64%,529.84%,-,-,-,-,-,-,-
Shares Outstanding (Basic),8,25,31,31,31,31,31,31,31,8,5
Shares Outstanding (Diluted),8,25,31,31,31,31,31,31,31,8,5
Shares Change,-73.75%,-21.01%,-,-,-,274.43%,525.00%,-,-,-,-
EPS (Basic),-0.05,-,0.02,0.08,0.09,0.09,0.06,0.01,-0.01,-0.09,-
EPS (Diluted),-0.05,-,0.02,0.08,0.09,0.09,0.06,0.01,-0.01,-0.09,-
EPS Growth,-,-,-66.67%,700.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.09,-0.05,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.08,-
Effective Tax Rate,-,4377.87%,22.48%,1.17%,-,-,-,-,-,-,-
EBITDA,-0.42,0.01,0.85,2.41,2.84,2.9,1.86,0.38,-0.37,-0.71,-0
EBIT,-0.42,0.01,0.85,2.41,2.84,2.9,1.86,0.38,-0.37,-0.71,-0
