Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.31,0.19,0.33,0.29,0.24,0.03,0.01
Operating Expenses,0.31,0.19,0.33,0.29,0.24,0.03,0.01
Operating Income,-0.31,-0.19,-0.33,-0.29,-0.24,-0.03,-0.01
Other Expense / Income,-0.71,-3.19,-0.45,-2.97,-5.61,-,-
Pretax Income,0.41,3,0.13,2.68,5.37,-0.03,-0.01
Net Income,0.41,3,0.13,2.68,5.37,-0.03,-0.01
Net Income Growth,-92.46%,-,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,7,4,5
Shares Outstanding (Diluted),19,19,19,19,7,4,5
Shares Change,162.15%,343.57%,285.71%,-,-,-,-
EPS (Basic),-0.04,0.12,-,0.14,-1.15,-,-
EPS (Diluted),-0.04,0.12,-,0.14,-1.15,-,-
Free Cash Flow Per Share,0.10,-0.01,-0.01,-0.01,-0.10,-,-
EBITDA,0.41,3,0.13,2.68,5.37,-0.03,-0.01
EBIT,0.41,3,0.13,2.68,5.37,-0.03,-0.01
