Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.2,0.14,0.19,0.01,0,0,0
Other Operating Expenses,0.04,0.04,0.04,0,0,0,0
Operating Expenses,0.24,0.18,0.23,0.01,0,0,0
Operating Income,-0.24,-0.18,-0.23,-0.01,-0,-0,-0
Other Expense / Income,-1.2,-0.99,-0.02,-,-,-,-
Pretax Income,0.96,0.81,-0.21,-0.01,-0,-0,-0
Income Tax,0.24,0.08,0,0,0,0,0
Net Income,0.72,0.73,-0.21,-0.01,-0,-0,-0
Shares Outstanding (Basic),12,15,14,3,13,-,-
Shares Outstanding (Diluted),12,15,14,3,-,-,-
Shares Change,-9.36%,-,-,-,-,-,-
EPS (Basic),0.09,-1.77,-1.86,-,-,-,-
EPS (Diluted),0.09,-1.77,-1.86,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.03,0.00,-,-,-
Effective Tax Rate,25.28%,9.84%,-,-,-,-,-
EBITDA,0.96,0.81,-0.21,-0.01,-0,-0,-0
EBIT,0.96,0.81,-0.21,-0.01,-0,-0,-0
