Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Revenue,48.06,50.73,45.24,42.78,42.56,43.06,40.77,40.64,43.34,39.83,36.75,33.4,31.56,42.47,40.04,39.47,41.16,35.6,39.77,-
Revenue Growth (YoY),12.95%,17.81%,10.95%,5.27%,-1.82%,8.11%,10.95%,21.68%,37.34%,-6.23%,-8.22%,-15.39%,-23.33%,19.31%,0.68%,-,-,-,-,-
Gross Profit,48.06,50.73,45.24,42.78,42.56,43.06,40.77,40.64,43.34,39.83,36.75,33.4,31.56,42.47,40.04,39.47,41.16,35.6,39.77,-
"Selling, General & Admin",29.67,20.96,19.68,20.48,20.36,20.26,18.21,18.21,19.13,18.44,18.82,19.87,20.25,19.2,19.16,21.17,18.49,19.48,18.51,-
Other Operating Expenses,6.27,12.15,4.32,3.36,3.8,4.12,3.96,3.94,3.41,4.23,3.66,3.63,3.06,2.75,3.15,3.39,3.73,3.96,3.43,0
Operating Expenses,35.93,33.11,24,23.84,24.16,24.38,22.17,22.15,22.54,22.67,22.49,23.5,23.31,21.95,22.3,24.56,22.21,23.44,21.94,-
Operating Income,12.13,17.62,21.24,18.94,18.4,18.68,18.61,18.48,20.8,17.16,14.26,9.9,8.25,20.52,17.74,14.91,18.95,12.16,17.83,-
Pretax Income,12.13,17.62,21.24,18.94,18.4,18.68,18.61,18.48,20.8,17.16,14.26,9.9,8.25,20.52,17.74,14.91,18.95,12.16,17.83,-
Income Tax,2.92,4.48,5.61,4.85,4.79,5.08,4.89,4.77,5.55,4.52,3.7,2.48,2.03,4.44,0.3,0.31,0.22,0.24,0.24,-
Net Income,9.21,13.14,15.63,14.09,13.6,13.59,13.72,13.72,15.25,12.64,10.56,7.42,6.22,16.09,17.44,14.61,18.74,11.92,17.59,-
Net Income Growth,-32.31%,-3.34%,13.94%,2.68%,-10.76%,7.53%,29.84%,84.89%,145.06%,-21.41%,-39.42%,-49.20%,-66.80%,34.96%,-0.88%,-,-,-,-,-
Shares Outstanding (Basic),31,29,29,29,29,29,27,27,27,27,27,27,27,20,18,18,18,18,18,18
Shares Outstanding (Diluted),31,29,29,29,29,29,27,27,27,27,27,27,27,20,18,18,18,18,18,-
Shares Change,6.87%,-1.03%,5.29%,5.59%,5.67%,5.80%,-0.42%,-0.34%,-0.10%,36.67%,52.31%,52.31%,52.31%,11.44%,-,-0.24%,-,-,-,-
EPS (Basic),0.30,0.45,0.54,0.49,0.47,0.46,0.50,0.50,0.55,0.46,0.38,0.27,0.23,0.51,0.97,0.81,1.04,0.67,0.98,-
EPS (Diluted),0.30,0.46,0.54,0.49,0.47,0.46,0.50,0.50,0.55,0.46,0.38,0.27,0.23,0.51,0.97,0.81,1.04,0.67,0.98,-
EPS Growth,-36.17%,0%,8.00%,-2.00%,-14.55%,0%,31.58%,85.19%,139.13%,-9.80%,-60.82%,-66.67%,-77.88%,-23.88%,-1.02%,-,-,-,-,-
Free Cash Flow Per Share,0.67,0.81,0.63,0.35,0.74,0.55,0.10,0.62,0.22,1.31,0.27,-0.93,0.42,1.55,0.97,1.06,1.12,1.28,-,-
Dividend Per Share,0.170,0.160,0.160,0.160,0.160,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,-,-,-,-,-,-,-
Dividend Growth,6.25%,6.67%,6.67%,6.67%,6.67%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,25.24%,34.73%,46.95%,44.27%,43.23%,43.37%,45.63%,45.48%,47.99%,43.09%,38.81%,29.63%,26.15%,48.32%,44.30%,37.77%,46.04%,34.16%,44.84%,-
Profit Margin,19.16%,25.90%,34.54%,32.93%,31.97%,31.57%,33.64%,33.76%,35.17%,31.74%,28.74%,22.22%,19.71%,37.87%,43.55%,37.00%,45.52%,33.48%,44.23%,-
Free Cash Flow Margin,43.43%,45.70%,40.08%,23.39%,50.57%,37.33%,7.07%,41.84%,13.97%,90.22%,20.10%,-76.66%,37.00%,73.56%,43.90%,48.66%,49.01%,64.82%,-,-
Effective Tax Rate,24.10%,25.40%,26.43%,25.62%,26.06%,27.21%,26.29%,25.78%,26.70%,26.33%,25.95%,25.03%,24.61%,21.62%,1.69%,2.05%,1.13%,1.97%,1.35%,-
EBITDA,13.43,18.5,22.25,19.95,19.41,19.71,19.61,19.51,21.86,18.23,15.34,10.92,9.26,21.53,18.73,15.96,20.03,13.27,-,-
EBITDA Margin,27.95%,36.48%,49.18%,46.64%,45.60%,45.77%,48.10%,48.01%,50.44%,45.78%,41.74%,32.69%,29.34%,50.68%,46.78%,40.44%,48.66%,37.29%,-,-
Depreciation & Amortization,1.3,0.89,1.01,1.01,1.01,1.03,1,1.03,1.06,1.07,1.08,1.02,1.01,1,1,1.05,1.08,1.12,-,-
EBIT,12.13,17.62,21.24,18.94,18.4,18.68,18.61,18.48,20.8,17.16,14.26,9.9,8.25,20.52,17.74,14.91,18.95,12.16,17.83,-
EBIT Margin,25.24%,34.73%,46.95%,44.27%,43.23%,43.37%,45.63%,45.48%,47.99%,43.09%,38.81%,29.63%,26.15%,48.32%,44.30%,37.77%,46.04%,34.16%,44.84%,-
