Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.05,0.02,0.07,0.11,0.01,0.05,0.05,-0,0
Other Operating Expenses,0.26,0.21,0.23,0.16,0,-0.05,0.05,0,0
Operating Expenses,0.31,0.23,0.3,0.27,0.01,-0,0.1,-0,0
Operating Income,-0.31,-0.23,-0.3,-0.27,-0.01,0,-0.1,0,-0
Other Expense / Income,-2,-0.69,-0.12,-0,-,0,-0.04,-,-
Pretax Income,1.69,0.46,-0.18,-0.27,-0.01,0,-0.06,0,-0
Income Tax,0.4,0.13,0,0,0,0,0,0,0
Net Income,1.29,0.33,-0.18,-0.27,-0.01,0,-0.06,0,-0
Shares Outstanding (Basic),24,24,24,15,6,5,5,5,6
Shares Outstanding (Diluted),24,24,24,15,6,5,5,5,6
Shares Change,316.77%,378.80%,378.80%,201.43%,-,-,-,-,-
EPS (Basic),0.06,0.01,-0.01,-0.02,-,-,-0.01,-,-
EPS (Diluted),0.06,0.01,-0.01,-0.02,-,-,-0.01,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.04,-0.01,-,-0.03,0.03,-
Effective Tax Rate,23.58%,29.20%,-,-,-,-,-,-,-
EBITDA,1.69,0.46,-0.18,-0.27,-0.01,0,-0.06,0,-0
EBIT,1.69,0.46,-0.18,-0.27,-0.01,0,-0.06,0,-0
