Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.32,0.16,0.21,0.19,1.82,0.22,0.62,0.32,0
Operating Expenses,0.32,0.16,0.21,0.19,1.82,0.22,0.62,0.32,0
Operating Income,-0.32,-0.16,-0.21,-0.19,-1.82,-0.22,-0.62,-0.32,-0
Other Expense / Income,-2.63,-3.01,-6.23,-3.73,-13.85,-18.29,18.6,7.41,-
Pretax Income,2.32,2.85,6.02,3.54,12.04,18.06,-19.22,-7.73,-0
Income Tax,0.56,0.36,0.06,0,0,0,0,0,0
Net Income,1.76,2.49,5.96,3.54,12.04,18.06,-19.22,-7.73,-0
Net Income Growth,-85.37%,-86.23%,-,-,-,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,50,50,37,9
Shares Outstanding (Diluted),50,50,50,50,50,50,50,37,9
Shares Change,0.11%,-,-,34.53%,466.06%,-,-,-,-
EPS (Basic),0.04,0.05,0.12,0.07,0.26,0.36,-0.38,-0.21,-
EPS (Diluted),0.04,0.05,0.12,0.07,0.26,0.36,-0.38,-0.21,-
EPS Growth,-84.62%,-86.11%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-
Effective Tax Rate,24.05%,12.77%,0.99%,-,-,-,-,-,-
EBITDA,2.32,2.85,6.02,3.54,12.04,18.06,-19.22,-7.73,-0
EBIT,2.32,2.85,6.02,3.54,12.04,18.06,-19.22,-7.73,-0
