Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31
"Selling, General & Admin",0.11,0.15,0.22,0.13,0.19,0.19,0.14,0.13,0.11,0,0.01,0.01,0.01,0.01,-
Operating Expenses,0.11,0.15,0.22,0.13,0.19,0.19,0.14,0.13,0.11,0,0.01,0.01,0.01,0.01,-
Operating Income,-0.11,-0.15,-0.22,-0.13,-0.19,-0.19,-0.14,-0.13,-0.11,-0,-0.01,-0.01,-0.01,-0.01,-
Other Expense / Income,-0.27,-0.34,-0.48,-0.07,-0.52,-0.28,-1.11,1.93,0.14,-,-,-,-,-,-
Pretax Income,0.17,0.2,0.27,-0.06,0.33,0.1,0.98,-2.06,-0.25,-0,-0.01,-0.01,-0.01,-0.01,-
Net Income,0.17,0.2,0.27,-0.06,0.33,0.1,0.98,-2.06,-0.25,-0,-0.01,-0.01,-0.01,-0.01,-
Net Income Growth,-49.95%,103.72%,-72.75%,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,5,5,5,3,4,1,1,1,1,1,0
Shares Outstanding (Diluted),5,5,5,5,5,5,5,3,4,1,1,1,1,1,-
Shares Change,-1.48%,-1.16%,-,80.15%,28.89%,426.00%,426.00%,191.53%,308.09%,-,99999900.00%,-,-,-,-
EPS (Basic),-0.10,-0.03,-0.03,-0.01,0.06,0.02,0.19,-0.49,-0.81,-,-0.01,-0.01,-0.01,-0.01,-
EPS (Diluted),-0.10,-0.03,-0.03,-0.01,0.06,0.02,0.19,-0.49,-0.81,-,-0.01,-0.01,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.04,-0.01,-0.03,-0.02,-0.02,-0.07,-0.02,-,-0.01,-0.00,0.11,-,-
EBITDA,0.17,0.2,0.27,-0.06,0.33,0.1,0.98,-2.06,-0.25,-0,-0.01,-0.01,-0.01,-,-
EBIT,0.17,0.2,0.27,-0.06,0.33,0.1,0.98,-2.06,-0.25,-0,-0.01,-0.01,-0.01,-0.01,-
