Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Revenue,869,623,902,-,750,"1,694",927
Revenue Growth (YoY),15.87%,-63.22%,-2.70%,-,-,-,-
Cost of Revenue,871,743,592,-,273,"1,404",185
Gross Profit,-2,-120,310,-,477,290,742
"Selling, General & Admin",53,47,46,-,30,36,32
Other Operating Expenses,126,3,115,0,94,94,232
Operating Expenses,179,50,161,-,124,130,264
Operating Income,-181,-170,149,-,353,160,478
Interest Expense / Income,22,6,6,-,8,8,6
Other Expense / Income,-,-,-,-,-,-,3
Pretax Income,-203,-176,143,-,345,152,469
Income Tax,-8,-76,28,-,106,31,96
Net Income,-195,-100,115,-,239,121,373
Net Income Growth,-,-,-69.17%,-,-,-,-
Shares Outstanding (Basic),125,123,125,106,105,105,105
Shares Outstanding (Diluted),125,123,125,-,105,105,105
Shares Change,19.05%,17.30%,19.32%,-,-,-,-
EPS (Basic),-1.56,-0.99,0.76,-,2.28,1.15,3.56
EPS (Diluted),-1.56,-0.99,0.76,-,2.28,1.15,3.56
EPS Growth,-,-,-78.65%,-,-,-,-
Free Cash Flow Per Share,11.45,10.38,9.21,-,3.92,8.11,5.01
Gross Margin,-0.23%,-19.26%,34.37%,-,63.60%,17.12%,80.04%
Operating Margin,-20.83%,-27.29%,16.52%,-,47.07%,9.45%,51.56%
Profit Margin,-22.44%,-16.05%,12.75%,-,31.87%,7.14%,40.24%
Free Cash Flow Margin,164.67%,205.14%,127.94%,-,54.93%,50.30%,56.74%
Effective Tax Rate,-,-,19.58%,-,30.72%,20.39%,20.47%
EBITDA,-91,-192,236,-,429,225,685
EBITDA Margin,-10.47%,-30.82%,26.16%,-,57.20%,13.28%,73.89%
Depreciation & Amortization,90,-22,87,-,76,65,210
EBIT,-181,-170,149,-,353,160,475
EBIT Margin,-20.83%,-27.29%,16.52%,-,47.07%,9.45%,51.24%
