Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.21,0.34,0.2,0.37,-,0
Operating Expenses,0.21,0.34,0.2,0.37,-,0
Operating Income,-0.21,-0.34,-0.2,-0.37,-,0
Other Expense / Income,-2.16,-0.89,-2.88,-8.03,-,-
Pretax Income,1.95,0.55,2.68,7.66,-,0
Net Income,1.95,0.55,2.68,7.66,-,0
Shares Outstanding (Basic),22,22,22,22,6,4
Shares Outstanding (Diluted),22,22,22,22,-,4
Shares Change,267.51%,475.00%,-,-,-,-
EPS (Basic),0.09,0.03,0.12,0.36,-,-
EPS (Diluted),0.09,0.03,0.12,0.36,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-,-
EBITDA,1.95,0.55,2.68,7.66,-,-
EBIT,1.95,0.55,2.68,7.66,-,0
