Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-15
"Selling, General & Admin",0.33,0.31,0.24,0.3,0.37,0.18,0.32,0.36,0.09,0.01
Operating Expenses,0.33,0.31,0.24,0.3,0.37,0.18,0.32,0.36,0.09,0.01
Operating Income,-0.33,-0.31,-0.24,-0.3,-0.37,-0.18,-0.32,-0.36,-0.09,-0.01
Other Expense / Income,-1.74,-2.34,-3.53,-1.73,-3.97,-1.45,-0.84,2.68,0.25,-
Pretax Income,1.41,2.02,3.29,1.43,3.6,1.27,0.51,-3.04,-0.34,-0.01
Net Income,1.41,2.02,3.29,1.43,3.6,1.27,0.51,-3.04,-0.34,-0.01
Net Income Growth,-60.84%,58.84%,540.39%,-,-,-,-,-,-,-
Shares Outstanding (Basic),16,19,19,19,19,19,19,19,8,3
Shares Outstanding (Diluted),16,19,19,19,19,19,19,19,8,3
Shares Change,-17.13%,2.43%,-,-,137.11%,506.29%,-,-,-,-
EPS (Basic),0.09,0.10,0.17,0.07,0.19,0.09,0.03,-0.16,-0.04,-
EPS (Diluted),0.09,0.10,0.17,0.07,0.19,0.09,0.03,-0.16,-0.04,-
EPS Growth,-52.63%,11.11%,466.67%,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.07,-0.01,-0.00,-0.02,-0.00,-0.00,-0.01,-0.01,-0.13,-
EBITDA,1.41,2.02,3.29,1.43,3.6,1.27,0.51,-3.04,-0.34,-0.01
EBIT,1.41,2.02,3.29,1.43,3.6,1.27,0.51,-3.04,-0.34,-0.01
