Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",1.77,0.49,0.52,0.37,0.45,0.22,0.01
Operating Expenses,1.77,0.49,0.52,0.37,0.45,0.22,0.01
Operating Income,-1.77,-0.49,-0.52,-0.37,-0.45,-0.22,-0.01
Other Expense / Income,-1.41,-1.11,-0.6,-0.11,-0.04,-0.01,-
Pretax Income,-0.35,0.62,0.07,-0.26,-0.4,-0.21,-0.01
Net Income,-0.35,0.62,0.07,-0.26,-0.4,-0.21,-0.01
Shares Outstanding (Basic),16,16,16,16,16,5,3
Shares Outstanding (Diluted),16,16,16,16,16,5,3
Shares Change,-,234.91%,475.00%,-,-,-,-
EPS (Basic),-0.02,0.04,-,-0.02,-0.03,-0.05,-
EPS (Diluted),-0.02,0.04,-,-0.02,-0.03,-0.05,-
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-0.01,-0.01,-0.17,-
EBITDA,-0.35,0.62,0.07,-0.26,-0.4,-0.21,-0.01
EBIT,-0.35,0.62,0.07,-0.26,-0.4,-0.21,-0.01
