Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.27,0.76,0.23,0.16,0.28,0
Other Operating Expenses,0.16,0.02,0.03,0,0.08,0
Operating Expenses,0.44,0.77,0.26,0.16,0.36,0
Operating Income,-0.44,-0.77,-0.26,-0.16,-0.36,-0
Other Expense / Income,-0.87,-0.46,-0.14,-0.01,-0.01,-
Pretax Income,0.44,-0.31,-0.12,-0.15,-0.35,-0
Income Tax,0.01,0,0,0,0,0
Net Income,0.43,-0.31,-0.12,-0.15,-0.35,-0
Shares Outstanding (Basic),13,13,13,13,5,2
Shares Outstanding (Diluted),13,13,13,13,5,2
Shares Change,184.56%,496.49%,-,-,-,-
EPS (Basic),0.06,-0.01,-0.01,-0.01,-0.08,-
EPS (Diluted),0.06,-0.01,-0.01,-0.01,-0.08,-
Free Cash Flow Per Share,-0.03,-0.00,-0.02,-0.02,-0.06,-
Effective Tax Rate,1.14%,-,-,-,-,-
EBITDA,0.44,-0.31,-0.12,-0.15,-0.35,-
EBIT,0.44,-0.31,-0.12,-0.15,-0.35,-0
