Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31,2018-12-31
Revenue,"1,618.67","1,450.54","1,306.87","1,157.56",877.27,635.97,480.91,336.09,245.06,202.57,156.09,-,-
Revenue Growth (YoY),84.51%,128.08%,171.75%,244.42%,257.98%,213.96%,208.10%,-,-,-,-,-,-
Cost of Revenue,967.79,872.2,879.84,794.03,583.17,409.08,256.96,169.69,129.39,126.26,88.83,-,-
Gross Profit,650.88,578.33,427.03,363.53,294.09,226.89,223.95,166.4,115.68,76.31,67.25,-,-
"Selling, General & Admin",256.15,647.95,299.88,265.71,272.72,258.74,192.1,136.93,120.72,49.53,60.88,-,-
Other Operating Expenses,151.1,152.13,122.04,122.43,89.03,56.65,53.61,36.01,48.33,12.58,31.04,0,0
Operating Expenses,407.25,800.08,421.92,388.15,361.75,315.39,245.71,172.94,169.04,62.12,91.91,-,-
Operating Income,243.63,-221.75,5.11,-24.61,-67.65,-88.5,-21.76,-6.54,-53.37,14.19,-24.66,-,-
Other Expense / Income,-,-,-,-0.15,0.1,-0.2,-0.15,-,-,127.97,13.19,-,-
Pretax Income,243.63,-221.75,5.11,-24.46,-67.75,-88.31,-21.61,-6.54,-53.37,-113.77,-37.85,-,-
Income Tax,101.88,75.87,-2.73,5.24,-22.65,-22.23,12.6,8.68,-3.88,-6.72,-5.28,-,-
Net Income,141.75,-297.61,7.83,-29.7,-45.1,-66.08,-34.21,-15.22,-49.48,-107.06,-32.56,-,-
Shares Outstanding (Basic),"4,710","4,693","4,684","4,671","4,660","1,602","1,424","1,367","1,347","1,333","1,321","1,138","1,099"
Shares Outstanding (Diluted),"4,818","4,693","4,824","4,671","4,660","1,602","1,424","1,367","1,347","1,333","1,321",-,-
Shares Change,3.39%,192.90%,238.80%,241.79%,245.90%,20.21%,7.82%,20.10%,22.59%,-,-,-,-
EPS (Basic),0.03,-0.06,0.00,-0.01,-0.01,-0.03,-0.02,-0.01,-0.04,-0.08,-0.03,-,-
EPS (Diluted),0.03,-0.06,0.00,-0.01,-0.01,-0.03,-0.02,-0.01,-0.04,-0.08,-0.03,-,-
Free Cash Flow Per Share,0.02,0.05,-0.00,0.10,0.02,-1.16,-0.56,-0.04,-0.17,-0.15,-,-,-
Gross Margin,40.21%,39.87%,32.68%,31.41%,33.52%,35.68%,46.57%,49.51%,47.20%,37.67%,43.09%,-,-
Operating Margin,15.05%,-15.29%,0.39%,-2.13%,-7.71%,-13.92%,-4.52%,-1.95%,-21.78%,7.01%,-15.80%,-,-
Profit Margin,8.76%,-20.52%,0.60%,-2.57%,-5.14%,-10.39%,-7.11%,-4.53%,-20.19%,-52.85%,-20.86%,-,-
Free Cash Flow Margin,5.54%,15.15%,-1.48%,39.88%,8.39%,-292.18%,-165.67%,-15.16%,-91.62%,-96.58%,-,-,-
Effective Tax Rate,41.82%,-,-53.38%,-,-,-,-,-,-,-,-,-,-
EBITDA,256.81,-211.86,12.72,-14.03,-60.09,-81.86,-15.96,-3.8,-50.86,-110.13,-,-,-
EBITDA Margin,15.87%,-14.61%,0.97%,-1.21%,-6.85%,-12.87%,-3.32%,-1.13%,-20.75%,-54.37%,-,-,-
Depreciation & Amortization,13.18,9.88,7.61,10.43,7.66,6.44,5.65,2.74,2.51,3.65,-,-,-
EBIT,243.63,-221.75,5.11,-24.46,-67.75,-88.31,-21.61,-6.54,-53.37,-113.77,-37.85,-,-
EBIT Margin,15.05%,-15.29%,0.39%,-2.11%,-7.72%,-13.89%,-4.49%,-1.95%,-21.78%,-56.17%,-24.25%,-,-
