Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",1.31,0.95,0.4,0.56,0.38,0.31,0.03
Operating Expenses,1.31,0.95,0.4,0.56,0.38,0.31,0.03
Operating Income,-1.31,-0.95,-0.4,-0.56,-0.38,-0.31,-0.03
Other Expense / Income,-2.85,-4.51,-4.08,-1.96,-5.59,-9.07,-
Pretax Income,1.54,3.56,3.67,1.4,5.21,8.76,-0.03
Net Income,1.54,3.56,3.67,1.4,5.21,8.76,-0.03
Net Income Growth,-70.52%,-59.37%,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,11,5
Shares Outstanding (Diluted),29,29,29,29,29,11,5
Shares Change,-,161.42%,475.00%,-,-,-,-
EPS (Basic),0.05,0.12,0.13,0.05,0.18,0.80,-0.01
EPS (Diluted),0.05,0.12,0.13,0.05,0.18,0.80,-0.01
EPS Growth,-72.22%,-85.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.01,-0.00,-0.11,-
EBITDA,1.54,3.56,3.67,1.4,5.21,8.76,-0.03
EBIT,1.54,3.56,3.67,1.4,5.21,8.76,-0.03
