Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.2,0.25,0.09,0.41,0.09,-,0
Operating Expenses,0.2,0.25,0.09,0.41,0.09,-,0
Operating Income,-0.2,-0.25,-0.09,-0.41,-0.09,-,0
Other Expense / Income,-2.85,-3.86,-1.35,-11.47,-0.55,-,-
Pretax Income,2.66,3.61,1.26,11.07,0.46,-,0
Net Income,2.66,3.61,1.26,11.07,0.46,-,0
Net Income Growth,477.83%,-,-,-,-,-,-
Shares Outstanding (Basic),32,32,32,32,15,5,8
Shares Outstanding (Diluted),32,32,32,32,15,-,8
Shares Change,122.77%,547.84%,331.25%,-,-,-,-
EPS (Basic),0.08,0.11,0.04,0.34,0.03,-,-
EPS (Diluted),0.08,0.11,0.04,0.34,0.03,-,-
EPS Growth,166.67%,-,-,-,-,-,-
Free Cash Flow Per Share,0.08,0.05,0.02,-0.02,-0.01,-,-
EBITDA,2.66,3.61,1.26,11.07,0.46,-,-
EBIT,2.66,3.61,1.26,11.07,0.46,-,0
