Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
"Selling, General & Admin",3.21,0.2,-0.23,0.2,1.75,0.17,-0.34,0.07,0.01
Operating Expenses,3.21,0.2,-0.23,0.2,1.75,0.17,-0.34,0.07,0.01
Operating Income,-3.21,-0.2,0.23,-0.2,-1.75,-0.17,0.34,-0.07,-0.01
Other Expense / Income,-2.34,-1.43,-1.73,-4.17,-1.12,-2.97,-4.32,0.53,-
Pretax Income,-0.87,1.23,1.96,3.97,-0.63,2.8,4.66,-0.6,-0.01
Net Income,-0.87,1.23,1.96,3.97,-0.63,2.8,4.66,-0.6,-0.01
Net Income Growth,-,-56.02%,-57.92%,-,-,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,5,5,5,5,5
Shares Outstanding (Diluted),5,5,5,5,5,5,5,5,5
Shares Change,-0.10%,-,-,4.70%,6.65%,-,-,-,-
EPS (Basic),-0.03,0.05,0.07,0.15,-0.04,0.11,0.18,-0.05,-
EPS (Diluted),-0.03,0.05,0.07,0.15,-0.04,0.11,0.18,-0.05,-
EPS Growth,-,-54.55%,-61.11%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.04,-0.04,-0.03,-0.05,-0.02,-0.13,-
EBITDA,-0.87,1.23,1.96,3.97,-0.63,2.8,4.66,-0.6,-0.01
EBIT,-0.87,1.23,1.96,3.97,-0.63,2.8,4.66,-0.6,-0.01
