Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.39,0.2,0.26,0.28,0.3,0.16,0.18,0.14,0
Other Operating Expenses,0.06,0.05,0.05,0.05,0.13,0.02,0,0,0
Operating Expenses,0.44,0.25,0.31,0.33,0.43,0.18,0.18,0.14,0
Operating Income,-0.44,-0.25,-0.31,-0.33,-0.43,-0.18,-0.18,-0.14,-0
Other Expense / Income,-1.31,-1.04,-0.36,-0.09,-0.02,-0.04,-0.07,0,-
Pretax Income,0.87,0.79,0.04,-0.23,-0.41,-0.14,-0.11,-0.14,-0
Income Tax,0.31,0.16,0.01,0,0,0,0,0,0
Net Income,0.57,0.62,0.04,-0.23,-0.41,-0.14,-0.11,-0.14,-0
Shares Outstanding (Basic),23,26,26,26,26,26,26,14,4
Shares Outstanding (Diluted),23,26,26,26,26,26,26,14,4
Shares Change,-11.82%,-,-,82.10%,585.26%,-,-,-,-
EPS (Basic),0.02,0.02,-,-0.01,-0.02,-0.01,-,-0.01,-
EPS (Diluted),0.02,0.02,-,-0.01,-0.02,-0.01,-,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.06,-
Effective Tax Rate,35.06%,20.97%,16.50%,-,-,-,-,-,-
EBITDA,0.87,0.79,0.04,-0.23,-0.41,-0.14,-0.11,-0.14,-0
EBIT,0.87,0.79,0.04,-0.23,-0.41,-0.14,-0.11,-0.14,-0
