Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+9 Quarters
Revenue,33.77,31.41,29.99,27.21,27.56,31.57,31.05,29.41,31.63,33.06,33.36,27.34,22.68,22.36,23.91,22.71,21.49,26.94,17.21,17.09,16.17,16.26,17,16.92,14.4,14.04,15.4,14.05,11.54,11.17,10.91,11.57,9.74,8.88,7.79,7.2,6.49,6.04,6.68,7.26,Upgrade
Revenue Growth (YoY),22.57%,-0.49%,-3.42%,-7.46%,-12.89%,-4.51%,-6.93%,7.55%,39.49%,47.88%,39.56%,20.41%,5.51%,-17.01%,38.91%,32.87%,32.92%,65.71%,1.24%,0.98%,12.34%,15.82%,10.40%,20.47%,24.70%,25.65%,41.10%,21.43%,18.53%,25.76%,40.16%,60.73%,49.99%,47.19%,16.52%,-0.79%,2.61%,-3.22%,30.56%,62.56%,Upgrade
Gross Profit,33.77,31.41,29.99,27.21,27.56,31.57,31.05,29.41,31.63,33.06,33.36,27.34,22.68,22.36,23.91,22.71,21.49,26.94,17.21,17.09,16.17,16.26,17,16.92,14.4,14.04,15.4,14.05,11.54,11.17,10.91,11.57,9.74,8.88,7.79,7.2,6.49,6.04,6.68,7.26,Upgrade
"Selling, General & Admin",17.82,16.57,15.15,15.46,15.74,16.84,16.26,15.3,14.97,14.4,13.23,10.46,12.46,12.23,10.95,12.02,11.33,9.38,9.02,9.73,8.93,8.5,9.01,8.74,7.95,7.27,8.13,7.26,6.52,5.83,5.83,5.63,5.24,5.51,4.83,4.43,4.28,3.95,3.74,4.34,Upgrade
Other Operating Expenses,5.7,5.28,4.19,3.47,3.33,4.12,3.76,3.66,1.37,4.21,3.95,4.16,3.72,3.51,3.77,5.05,3.47,4.44,2.82,2.41,2.11,2.58,2.58,2.21,2.43,2.82,2.19,2.5,2.4,2.11,2,1.63,1.37,1.41,1.25,1.29,0.9,1.3,1.3,1.26,Upgrade
Operating Expenses,23.52,21.85,19.34,18.93,19.07,20.96,20.02,18.96,16.34,18.61,17.18,14.62,16.18,15.74,14.72,17.07,14.8,13.82,11.84,12.14,11.04,11.08,11.59,10.94,10.38,10.08,10.31,9.76,8.92,7.94,7.83,7.26,6.61,6.91,6.08,5.71,5.19,5.25,5.04,5.6,Upgrade
Operating Income,10.25,9.56,10.65,8.28,8.49,10.61,11.04,10.44,15.29,14.45,16.19,12.72,6.5,6.61,9.18,5.64,6.7,13.12,5.37,4.95,5.14,5.17,5.41,5.98,4.02,3.95,5.09,4.29,2.62,3.23,3.08,4.31,3.13,1.97,1.71,1.48,1.31,0.78,1.64,1.65,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,0.01,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.15,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,10.25,9.56,10.65,8.28,8.49,10.61,11.04,10.44,15.29,14.45,16.19,12.72,6.49,6.61,9.18,5.64,6.7,13.12,5.37,4.95,5.14,5.17,5.41,5.98,4.02,3.95,5.09,4.44,2.62,3.23,3.08,4.31,3.13,1.97,1.71,1.48,1.31,0.78,1.64,1.65,Upgrade
Income Tax,2.04,1.94,2.19,1.59,1.62,1.96,2.71,1.9,3.4,3.09,3.47,2.7,1.33,0.7,2.04,1.17,1.51,1.4,1.32,0.69,0.81,1.49,1.96,1.62,1.43,1.41,1.63,1.61,0.96,1.22,1.09,1.51,1.06,0.44,0.56,0.5,0.43,0.25,0.58,0.57,Upgrade
