Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-20
"Selling, General & Admin",2.55,0.46,0.42,0.47,0.35,0.3,1.04,2.06,0.51,0.23,0,0.01
Operating Expenses,2.55,0.46,0.42,0.47,0.35,0.3,1.04,2.06,0.51,0.23,0,0.01
Operating Income,-2.55,-0.46,-0.42,-0.47,-0.35,-0.3,-1.04,-2.06,-0.51,-0.23,-0,-0.01
Other Expense / Income,0.21,-0.72,-6.13,-8.93,-9.13,-9.46,-21.38,-19.66,-42.46,90.19,-,-
Pretax Income,-2.77,0.26,5.71,8.47,8.78,9.16,20.34,17.6,41.95,-90.42,-0,-0.01
Net Income,-2.77,0.26,5.71,8.47,8.78,9.16,20.34,17.6,41.95,-90.42,-0,-0.01
Net Income Growth,-,-97.15%,-71.93%,-51.90%,-79.07%,-,-,-,-,-,-,-
Shares Outstanding (Basic),30,65,74,74,74,74,74,74,74,39,14,14
Shares Outstanding (Diluted),30,65,74,74,74,74,74,74,74,39,14,14
Shares Change,-59.71%,-11.94%,-,-,-,91.97%,440.90%,440.90%,-,-,-,-
EPS (Basic),-0.09,0.04,0.08,0.11,0.12,0.13,0.27,0.24,0.56,-2.33,-,-
EPS (Diluted),-0.09,0.04,0.08,0.11,0.12,0.13,0.27,0.24,0.56,-2.33,-,-
EPS Growth,-,-69.23%,-70.37%,-54.17%,-78.57%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.00,-0.02,-0.01,-0.00,-0.00,-0.00,-,-
EBITDA,-2.77,0.26,5.71,8.47,8.78,9.16,20.34,17.6,41.95,-90.42,-0,-0.01
EBIT,-2.77,0.26,5.71,8.47,8.78,9.16,20.34,17.6,41.95,-90.42,-0,-0.01
