Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.17,0.19,0.33,-,0,0
Other Operating Expenses,0.18,0.18,0.18,0,0,0
Operating Expenses,0.35,0.37,0.5,-,0,0
Operating Income,-0.35,-0.37,-0.5,-,-0,-0
Other Expense / Income,-1.66,-3.74,-10.87,-,-,-
Pretax Income,1.31,3.37,10.37,-,-0,-0
Net Income,1.31,3.37,10.37,-,-0,-0
Shares Outstanding (Basic),29,29,29,7,5,5
Shares Outstanding (Diluted),29,29,29,-,5,5
Shares Change,475.00%,475.00%,-,-,-,-
EPS (Basic),0.01,0.11,-0.36,-,-,-
EPS (Diluted),0.01,0.11,-0.36,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.05,-,-,-
EBITDA,1.31,3.37,10.37,-,-0,-0
EBIT,1.31,3.37,10.37,-,-0,-0
