Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.13,0.42,0.22,-,0,0.03
Operating Expenses,1.13,0.42,0.22,-,0,0.03
Operating Income,-1.13,-0.42,-0.22,-,-0,-0.03
Other Expense / Income,-1.14,-0.34,-0.02,-,-,-
Pretax Income,0,-0.09,-0.21,-,-0,-0.03
Net Income,0,-0.09,-0.21,-,-0,-0.03
Shares Outstanding (Basic),32,32,32,6,6,2
Shares Outstanding (Diluted),32,32,32,-,6,2
Shares Change,475.00%,1593.06%,-,-,-,-
EPS (Basic),-,0.01,-0.01,-,-,-
EPS (Diluted),-,0.01,-0.01,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-,-0.00,-
EBITDA,0,-0.09,-0.21,-,-0,-0.03
EBIT,0,-0.09,-0.21,-,-0,-0.03
