Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.32,0.29,0.18,0.14,0.18,0.17,0,0
Operating Expenses,0.32,0.29,0.18,0.14,0.18,0.17,0,0
Operating Income,-0.32,-0.29,-0.18,-0.14,-0.18,-0.17,0,0
Other Expense / Income,-0.14,-1.2,-0.66,-0.21,-0.01,-0,-,-
Pretax Income,-0.19,0.91,0.49,0.07,-0.17,-0.17,0,0
Income Tax,0.03,0.29,0.15,0.01,0,0,0,0
Net Income,-0.21,0.62,0.34,0.06,-0.17,-0.17,0,0
Shares Outstanding (Basic),6,18,19,19,19,19,4,4
Shares Outstanding (Diluted),6,18,19,19,19,19,4,4
Shares Change,-67.97%,-5.93%,347.69%,360.00%,-,-,-,-
EPS (Basic),-0.03,0.04,0.02,0.01,-0.01,-0.01,-,-
EPS (Diluted),-0.03,0.04,0.02,0.01,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.00,-0.01,-0.01,-,-
Effective Tax Rate,-,32.01%,30.58%,9.00%,-,-,-,-
EBITDA,-0.19,0.91,0.49,0.07,-0.17,-0.17,0,0
EBIT,-0.19,0.91,0.49,0.07,-0.17,-0.17,0,0
