Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.91,0.96,1.04,0.92,1.95,0.57,0.36,0.26,0
Operating Expenses,0.91,0.96,1.04,0.92,1.95,0.57,0.36,0.26,0
Operating Income,-0.91,-0.96,-1.04,-0.92,-1.95,-0.57,-0.36,-0.26,-0
Other Expense / Income,-3.15,-0.69,-5.03,-3.09,-5.12,-8.49,5.37,-2.05,-
Pretax Income,2.24,-0.28,3.99,2.17,3.18,7.91,-5.73,1.79,-0
Income Tax,0.58,0.24,0.05,0,0,0,0,0,0
Net Income,1.67,-0.52,3.94,2.17,3.18,7.91,-5.73,1.79,-0
Net Income Growth,-47.59%,-,-,21.17%,-,-,-,-,-
Shares Outstanding (Basic),30,34,34,34,34,34,34,28,6
Shares Outstanding (Diluted),30,34,34,34,34,34,34,28,6
Shares Change,-13.14%,-,-,21.10%,468.48%,-,-,-,-
EPS (Basic),0.06,-0.02,0.11,0.06,0.10,0.23,-0.17,0.06,-
EPS (Diluted),0.06,-0.02,0.11,0.06,0.10,0.23,-0.17,0.06,-
EPS Growth,-40.00%,-,-,0%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-
Effective Tax Rate,25.67%,-,1.23%,-,-,-,-,-,-
EBITDA,2.24,-0.28,3.99,2.17,3.18,7.91,-5.73,1.79,-0
EBIT,2.24,-0.28,3.99,2.17,3.18,7.91,-5.73,1.79,-0
