Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.77,0.08,0.13,0,-
Operating Expenses,0.77,0.08,0.13,0,-
Operating Income,-0.77,-0.08,-0.13,-0,-
Other Expense / Income,-0.58,-0.04,-,-,-
Pretax Income,-0.19,-0.04,-0.13,-0,-
Net Income,-0.19,-0.04,-0.13,-0,-
Shares Outstanding (Basic),8,11,8,2,2
Shares Outstanding (Diluted),8,11,8,2,-
Shares Change,345.31%,-,-,-,-
EPS (Basic),0.05,-0.01,-1.05,-,-
EPS (Diluted),0.05,-0.01,-1.05,-,-
Free Cash Flow Per Share,-0.01,-0.01,-,-,-
EBITDA,-0.19,-0.04,-0.13,-0,-
EBIT,-0.19,-0.04,-0.13,-0,-
