Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.37,0.02,0.15,-,0,0
Other Operating Expenses,0.04,0.08,0,0,0,0
Operating Expenses,0.41,0.1,0.15,-,0,0
Operating Income,-0.41,-0.1,-0.15,-,0,-0
Other Expense / Income,-0.53,-0.16,-0.01,-,-,-
Pretax Income,0.12,0.05,-0.14,-,0,-0
Net Income,0.12,0.05,-0.14,-,0,-0
Shares Outstanding (Basic),15,15,15,5,3,3
Shares Outstanding (Diluted),15,15,15,-,3,3
Shares Change,496.21%,496.21%,-,-,-,-
EPS (Basic),0.02,0.01,-0.01,-,-,-
EPS (Diluted),0.02,0.01,-0.01,-,-,-
Free Cash Flow Per Share,-0.02,0.02,-0.03,-0.07,-,-
EBITDA,0.12,0.05,-0.14,-,0,-0
EBIT,0.12,0.05,-0.14,-,0,-0
