Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Revenue,15.16,-8.37,29.36,31.34,29.16,34.33,35.75,16.18,11.06,6.18,6.12,4.67
Revenue Growth (YoY),-48.01%,-,-17.89%,93.74%,163.54%,455.80%,483.93%,246.23%,-,-,-,-
Cost of Revenue,9.74,2.79,22.1,18.41,12.48,9.34,9.66,4.72,4.58,3.92,4.07,2.58
Gross Profit,5.42,-11.16,7.26,12.93,16.68,24.99,26.1,11.45,6.48,2.26,2.05,2.09
"Selling, General & Admin",9.01,1.23,10.24,11.09,11.81,11.97,5.45,3.63,3.23,1.45,1.49,1.19
Other Operating Expenses,1.68,114.53,14.08,76.85,3.64,-27.99,32.5,2.54,1.37,1.34,1.06,1.13
Operating Expenses,10.69,115.75,24.32,87.94,15.45,-16.02,37.94,6.17,4.6,2.79,2.56,2.32
Operating Income,-5.27,-126.91,-17.05,-75.01,1.23,41.01,-11.85,5.28,1.89,-0.53,-0.51,-0.23
Interest Expense / Income,3.57,5.88,5.43,6.91,3.35,2.31,1.01,0.2,0.19,0.12,0,0.27
Other Expense / Income,-0.67,6.98,0.62,10.47,-1.32,69.32,0.03,0.17,-0.31,0.17,-0.22,0.07
Pretax Income,-8.17,-139.78,-23.1,-92.39,-0.81,-30.62,-12.89,4.92,2.01,-0.82,-0.29,-0.57
Income Tax,0,-0.2,0.08,15.49,-0.38,10.76,-4.99,1.4,0.73,0,0,0
Net Income,-8.17,-139.58,-23.18,-107.88,-0.43,-41.38,-7.9,3.52,1.28,-0.82,-0.29,-0.57
Shares Outstanding (Basic),5,4,4,4,4,3,4,4,4,4,-,-
Shares Outstanding (Diluted),5,-,-,-,4,-,-,-,-,-,-,-
Shares Change,30.13%,32.44%,8.41%,7.83%,7.03%,-16.59%,-,-,-,-,-,-
EPS (Basic),-1.50,-32.40,-5.50,-26.10,-0.10,-12.80,-2.60,1.20,0.20,-,-,-
EPS (Diluted),-1.50,-32.40,-5.50,-26.10,-0.10,-11.00,-2.60,1.00,0.20,-,-,-
Free Cash Flow Per Share,-1.04,-1.47,-5.42,-8.77,-15.78,-26.38,-4.89,-4.43,-0.83,-0.39,-,-
Gross Margin,35.77%,-,24.74%,41.26%,57.20%,72.78%,72.98%,70.80%,58.57%,36.55%,33.50%,44.73%
Operating Margin,-34.76%,-,-58.08%,-239.35%,4.20%,119.45%,-33.13%,32.67%,17.04%,-8.56%,-8.26%,-4.90%
Profit Margin,-53.91%,-,-78.94%,-344.24%,-1.47%,-120.53%,-22.08%,21.75%,11.56%,-13.34%,-4.72%,-12.22%
Free Cash Flow Margin,-36.68%,-,-77.35%,-115.78%,-222.28%,-245.83%,-52.89%,-105.09%,-28.74%,-24.02%,-4.83%,-
Effective Tax Rate,-,-,-,-,-,-,-,28.42%,36.40%,-,-,-
EBITDA,-0.78,-121.44,-3.83,-80.62,6.2,-25.37,-9.21,6.72,3.46,0.64,0.78,-
EBITDA Margin,-5.13%,-,-13.06%,-257.24%,21.25%,-73.88%,-25.76%,41.54%,31.28%,10.31%,12.66%,-
Depreciation & Amortization,3.82,12.46,13.84,4.87,3.65,2.94,2.67,1.6,1.26,1.34,1.06,-
EBIT,-4.6,-133.9,-17.67,-85.48,2.54,-28.31,-11.88,5.12,2.2,-0.7,-0.29,-0.3
EBIT Margin,-30.34%,-,-60.18%,-272.77%,8.72%,-82.45%,-33.22%,31.63%,19.88%,-11.33%,-4.72%,-6.38%
