Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.73,0.28,0.22,-0.13,0.07,0,0
Other Operating Expenses,0.05,0.12,0,0,0,0,0
Operating Expenses,0.78,0.4,0.22,-0.13,0.07,0,0
Operating Income,-0.78,-0.4,-0.22,0.13,-0.07,0,-0
Other Expense / Income,-2.25,-1.32,-0.39,0.22,-0,-,-
Pretax Income,1.47,0.91,0.17,-0.1,-0.07,0,-0
Income Tax,0.46,0.25,0.08,0,0,0,0
Net Income,1.02,0.66,0.09,-0.1,-0.07,0,-0
Shares Outstanding (Basic),40,40,40,39,10,9,3
Shares Outstanding (Diluted),40,40,40,39,10,9,3
Shares Change,297.84%,358.75%,1242.68%,-,-,-,-
EPS (Basic),0.02,0.02,-,-,-0.01,-,-
EPS (Diluted),0.02,0.02,-,-,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,0.01,-,-
Effective Tax Rate,31.10%,27.63%,46.37%,-,-,-,-
EBITDA,1.47,0.91,0.17,-0.1,-0.07,0,-0
EBIT,1.47,0.91,0.17,-0.1,-0.07,0,-0
