Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Revenue,29.05,23.77,21.33,19.03,16.65,16.31,12.46,15.28,13.72,13.02,12.19,10.23,10.4,11.42,11.8,11.27,9.58,9.33,8.63,8.32,7.95,7.14,6.3,5.68,5.35,5.15,4.81,4.75
Revenue Growth (YoY),74.50%,45.72%,71.21%,24.52%,21.37%,25.28%,2.19%,49.45%,31.89%,14.06%,3.34%,-9.29%,8.51%,22.40%,36.76%,35.49%,20.61%,30.58%,37.01%,46.52%,48.55%,38.70%,30.81%,19.56%,-,-,-,-
Gross Profit,29.05,23.77,21.33,19.03,16.65,16.31,12.46,15.28,13.72,13.02,12.19,10.23,10.4,11.42,11.8,11.27,9.58,9.33,8.63,8.32,7.95,7.14,6.3,5.68,5.35,5.15,4.81,4.75
"Selling, General & Admin",10.02,9.37,9.05,8.64,8.21,7.55,7.59,7.67,6.92,6.29,5.96,5.5,5.46,5.19,5.28,5.15,4.56,3.81,5.34,4.17,4.25,4.01,3.55,3.37,3.32,3.42,2.96,2.79
Other Operating Expenses,2.46,2,1.79,1.75,1.17,1.21,1.42,1.45,1.27,1.45,1.32,1.28,1.41,1.15,1.32,1.36,0.92,1.6,0.99,1.12,1.02,0.8,0.87,0.8,0.71,0.62,0.66,0.73
Operating Expenses,12.48,11.37,10.84,10.39,9.38,8.75,9.01,9.12,8.19,7.74,7.29,6.78,6.87,6.34,6.6,6.51,5.48,5.4,6.33,5.29,5.27,4.82,4.43,4.17,4.02,4.04,3.62,3.52
Operating Income,16.57,12.4,10.49,8.64,7.27,7.56,3.45,6.17,5.53,5.28,4.91,3.45,3.53,5.08,5.19,4.77,4.1,3.92,2.3,3.03,2.67,2.33,1.87,1.51,1.33,1.11,1.19,1.23
Pretax Income,16.57,12.4,10.49,8.64,7.27,7.56,3.45,6.17,5.53,5.28,4.91,3.45,3.53,5.08,5.19,4.77,4.1,3.92,2.3,3.03,2.67,2.33,1.87,1.51,1.33,1.11,1.19,1.23
Income Tax,4.39,3.29,2.78,2.29,1.93,0.83,0.93,1.67,1.36,1.4,1.3,0.91,0.94,1.2,1.38,1.3,1.12,1.05,0.61,0.81,0.72,1.67,0.73,0.48,0.51,0.42,0.45,0.48
Net Income,12.18,9.11,7.71,6.35,5.34,6.73,2.52,4.5,4.17,3.88,3.61,2.53,2.6,3.87,3.82,3.47,2.99,2.87,1.68,2.22,1.96,0.66,1.14,1.03,0.82,0.69,0.74,0.75
Net Income Growth,127.99%,35.42%,206.11%,41.07%,27.98%,73.36%,-30.14%,77.73%,60.72%,0.23%,-5.53%,-26.96%,-13.00%,34.81%,126.93%,56.15%,52.45%,334.64%,47.41%,116.26%,140.25%,-4.34%,54.19%,37.30%,-,-,-,-
Shares Outstanding (Basic),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,-,-
Shares Change,1.37%,3.85%,3.20%,3.15%,3.54%,2.41%,2.19%,2.09%,1.47%,1.61%,1.61%,1.81%,2.18%,1.29%,1.29%,1.17%,1.17%,1.63%,1.82%,3.25%,3.25%,1.59%,-,-,-,-,-,-
EPS (Basic),1.58,1.19,1.01,0.83,0.70,0.90,0.34,0.60,0.56,0.52,0.49,0.34,0.35,0.52,0.52,0.47,0.40,0.38,0.23,0.30,0.27,0.08,0.16,0.20,0.16,0.14,0.15,0.15
EPS (Diluted),1.47,1.10,0.94,0.78,0.66,0.84,0.32,0.57,0.53,0.51,0.48,0.33,0.33,0.50,0.49,0.45,0.39,0.37,0.22,0.29,0.26,0.07,0.16,0.20,0.16,0.13,0.14,0.15
EPS Growth,122.73%,30.95%,193.75%,36.84%,24.53%,64.71%,-33.33%,72.73%,60.61%,2.00%,-2.04%,-26.67%,-15.38%,35.14%,122.73%,55.17%,50.00%,428.57%,37.50%,45.00%,62.50%,-46.15%,14.29%,33.33%,-,-,-,-
Free Cash Flow Per Share,1.69,1.02,1.42,0.87,1.33,0.85,0.73,0.29,1.59,-0.35,0.33,0.71,0.93,0.43,1.42,0.01,0.03,0.25,0.58,0.02,0.34,0.13,0.02,0.33,0.04,0.66,-,-
Dividend Per Share,0.100,0.100,0.090,0.090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,57.04%,52.17%,49.19%,45.40%,43.66%,46.36%,27.70%,40.35%,40.31%,40.56%,40.24%,33.70%,33.98%,44.46%,44.02%,42.28%,42.81%,42.06%,26.62%,36.44%,33.64%,32.59%,29.72%,26.59%,24.77%,21.63%,24.79%,25.81%
Profit Margin,41.92%,38.34%,36.15%,33.37%,32.09%,41.26%,20.22%,29.46%,30.43%,29.81%,29.58%,24.77%,24.97%,33.93%,32.36%,30.76%,31.15%,30.80%,19.50%,26.69%,24.64%,9.25%,18.12%,18.08%,15.24%,13.42%,15.38%,15.75%
Free Cash Flow Margin,47.58%,35.00%,53.88%,36.79%,64.56%,41.15%,45.91%,14.92%,90.55%,-20.37%,20.68%,53.34%,68.56%,28.31%,91.00%,0.43%,2.43%,20.09%,49.76%,1.77%,32.04%,13.54%,2.10%,41.82%,5.89%,92.14%,-9.31%,-
Effective Tax Rate,26.50%,26.51%,26.50%,26.50%,26.50%,11.00%,27.01%,27.00%,24.51%,26.49%,26.50%,26.49%,26.51%,23.68%,26.50%,27.25%,27.25%,26.77%,26.74%,26.75%,26.75%,71.61%,39.02%,31.99%,38.49%,37.97%,37.97%,38.99%
EBITDA,16.74,12.57,10.67,8.82,7.45,7.73,3.64,6.35,5.68,5.43,5.05,3.58,3.67,5.21,5.33,4.89,4.21,4.04,2.4,3.13,2.78,2.43,1.98,1.61,1.43,1.14,1.25,-
EBITDA Margin,57.63%,52.88%,50.00%,46.33%,44.75%,47.40%,29.18%,41.51%,41.43%,41.66%,41.46%,35.03%,35.32%,45.66%,45.16%,43.41%,43.93%,43.32%,27.76%,37.66%,34.94%,34.03%,31.37%,28.39%,26.68%,22.21%,26.05%,-
Depreciation & Amortization,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.06,-
EBIT,16.57,12.4,10.49,8.64,7.27,7.56,3.45,6.17,5.53,5.28,4.91,3.45,3.53,5.08,5.19,4.77,4.1,3.92,2.3,3.03,2.67,2.33,1.87,1.51,1.33,1.11,1.19,1.23
EBIT Margin,57.04%,52.17%,49.19%,45.40%,43.66%,46.36%,27.70%,40.35%,40.31%,40.56%,40.24%,33.70%,33.98%,44.46%,44.02%,42.28%,42.81%,42.06%,26.62%,36.44%,33.64%,32.59%,29.72%,26.59%,24.77%,21.63%,24.79%,25.81%
