Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.23,0.26,0.23,0.39,0,0,0.01
Operating Expenses,0.23,0.26,0.23,0.39,0,0,0.01
Operating Income,-0.23,-0.26,-0.23,-0.39,-0,-0,-0.01
Other Expense / Income,-1.62,-1.11,-1.76,-1.78,-,-,-
Pretax Income,1.39,0.86,1.53,1.39,-0,-0,-0.01
Income Tax,0.27,0.13,0.02,0,0,0,0
Net Income,1.12,0.73,1.51,1.39,-0,-0,-0.01
Shares Outstanding (Basic),18,19,19,11,3,3,3
Shares Outstanding (Diluted),18,19,7,11,-,3,3
Shares Change,481.62%,495.92%,130.00%,-,-,-,-
EPS (Basic),0.06,0.04,0.08,0.13,-,-,-
EPS (Diluted),0.06,0.04,0.08,0.13,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.05,-,-0.00,-0.00
Effective Tax Rate,19.46%,14.99%,1.53%,-,-,-,-
EBITDA,1.39,0.86,1.53,1.39,-0,-0,-0.01
EBIT,1.39,0.86,1.53,1.39,-0,-0,-0.01
