Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,29.62,29.49,26.71,24.24,23.1,21.65,21.94,20.14,19.46,18.73,16.91,16.51,13.36
Revenue Growth (YoY),28.24%,36.21%,21.74%,20.34%,18.67%,15.57%,29.71%,22.02%,45.68%,-,-,-,-
Gross Profit,29.62,29.49,26.71,24.24,23.1,21.65,21.94,20.14,19.46,18.73,16.91,16.51,13.36
"Selling, General & Admin",7.56,6.78,6.67,6.55,6.54,6.25,5.85,5.65,5.32,6.45,4.68,3.69,4.08
Other Operating Expenses,3.56,3.94,3.5,3.66,3.04,2.77,2.79,3.94,3.49,2.46,2.55,2.33,2.02
Operating Expenses,11.12,10.72,10.17,10.21,9.58,9.02,8.64,9.58,8.8,8.91,7.23,6.02,6.1
Operating Income,18.5,18.77,16.53,14.03,13.52,12.63,13.3,10.56,10.66,9.82,9.68,10.49,7.27
Pretax Income,18.5,18.77,16.53,14.03,13.52,12.63,13.3,10.56,10.66,9.82,9.68,10.49,7.27
Income Tax,5.34,5.49,4.83,4.08,3.66,1.32,2.27,0.73,0.38,0.36,0.34,0.37,0.26
Net Income,13.16,13.28,11.7,9.95,9.86,11.31,11.03,9.83,10.28,9.46,9.34,10.12,7.01
Net Income Growth,33.45%,17.45%,6.15%,1.27%,-4.05%,19.52%,18.09%,-2.91%,46.70%,-,-,-,-
Shares Outstanding (Basic),17,17,17,17,17,17,17,17,16,16,-,-,-
Shares Change,0.07%,0.13%,0.12%,0.12%,6.03%,5.89%,-,-,-,-,-,-,-
EPS (Basic),0.77,0.77,0.68,0.58,0.58,0.65,0.64,0.67,0.93,0.85,0.94,1.05,0.72
EPS (Diluted),0.77,0.77,0.68,0.58,0.58,0.65,0.64,0.67,0.93,0.85,0.94,1.05,0.72
EPS Growth,32.76%,18.46%,6.25%,-13.43%,-37.63%,-23.53%,-31.91%,-36.19%,29.17%,-,-,-,-
Free Cash Flow Per Share,0.03,1.07,0.93,0.45,0.19,0.21,0.16,0.76,0.52,1.86,-,-,-
Dividend Per Share,-,0.150,0.150,0.150,0.150,0.150,0.150,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,62.46%,63.65%,61.91%,57.90%,58.54%,58.34%,60.61%,52.44%,54.77%,52.43%,57.23%,63.55%,54.37%
Profit Margin,44.43%,45.05%,43.83%,41.06%,42.70%,52.24%,50.26%,48.79%,52.81%,50.51%,55.21%,61.33%,52.44%
Free Cash Flow Margin,1.53%,62.38%,60.21%,32.01%,14.12%,16.75%,12.72%,64.72%,43.61%,161.37%,-11.67%,158.19%,-27.88%
Effective Tax Rate,28.86%,29.23%,29.21%,29.07%,27.07%,10.46%,17.07%,6.95%,3.58%,3.66%,3.52%,3.51%,3.57%
EBITDA,18.92,19.18,16.95,14.43,13.93,12.83,13.44,10.7,10.79,9.95,9.8,10.6,7.37
EBITDA Margin,63.88%,65.04%,63.46%,59.55%,60.32%,59.26%,61.26%,53.10%,55.44%,53.11%,57.96%,64.21%,55.12%
Depreciation & Amortization,0.42,0.41,0.41,0.4,0.41,0.2,0.14,0.13,0.13,0.13,0.13,0.11,0.1
EBIT,18.5,18.77,16.53,14.03,13.52,12.63,13.3,10.56,10.66,9.82,9.68,10.49,7.27
EBIT Margin,62.46%,63.65%,61.91%,57.90%,58.54%,58.34%,60.61%,52.44%,54.77%,52.43%,57.23%,63.55%,54.37%
