Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.85,0.19,0.2,0.18,0.32,0.22,0.25,0.23,0.17,0
Operating Expenses,0.85,0.19,0.2,0.18,0.32,0.22,0.25,0.23,0.17,0
Operating Income,-0.85,-0.19,-0.2,-0.18,-0.32,-0.22,-0.25,-0.23,-0.17,-0
Other Expense / Income,-1.28,-1.18,-1.82,-4.31,-0.75,-4.13,-0.15,-2.34,3.97,-
Pretax Income,0.43,0.99,1.62,4.13,0.43,3.91,-0.1,2.11,-4.14,-0
Income Tax,0.08,0.17,0.06,0,0,0,0,0,0,0
Net Income,0.34,0.83,1.56,4.13,0.43,3.91,-0.1,2.11,-4.14,-0
Net Income Growth,-21.09%,-78.84%,-,95.83%,-,-,-,-,-,-
Shares Outstanding (Basic),26,29,29,29,29,29,29,29,15,6
Shares Outstanding (Diluted),26,29,29,29,29,29,29,29,15,6
Shares Change,-8.14%,-,-,-,85.52%,400.00%,-,-,-,-
EPS (Basic),0.03,0.03,0.05,0.14,0.01,0.14,-,0.07,-0.27,-
EPS (Diluted),0.03,0.03,0.05,0.14,0.01,0.14,-,0.07,-0.27,-
EPS Growth,200.00%,-78.57%,-,100.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,-0.03,-
Effective Tax Rate,19.70%,16.83%,3.44%,-,-,-,-,-,-,-
EBITDA,0.43,0.99,1.62,4.13,0.43,3.91,-0.1,2.11,-4.14,-0
EBIT,0.43,0.99,1.62,4.13,0.43,3.91,-0.1,2.11,-4.14,-0
