Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Revenue,"1,960","2,068","2,054","1,783","1,642","1,745","1,692","1,822","1,799","1,583","1,363","1,286","1,057","1,527","1,537","1,531","1,503","1,508","1,486","1,424","1,384","1,401","1,371","1,326","1,288","1,261","1,294","1,188","1,143","1,141","1,133","1,123","1,125","1,107","1,084","1,424","1,045","1,026","1,008"
Revenue Growth (YoY),19.37%,18.51%,21.39%,-2.14%,-8.73%,10.23%,24.14%,41.68%,70.20%,3.67%,-11.32%,-16.00%,-29.67%,1.26%,3.43%,7.51%,8.60%,7.64%,8.39%,7.39%,7.45%,11.10%,5.95%,11.62%,12.69%,10.52%,14.21%,5.79%,1.60%,3.07%,4.52%,-21.14%,7.66%,7.89%,7.54%,-,-,-,-
Gross Profit,"1,960","2,068","2,054","1,783","1,642","1,745","1,692","1,822","1,799","1,583","1,363","1,286","1,057","1,527","1,537","1,531","1,503","1,508","1,486","1,424","1,384","1,401","1,371","1,326","1,288","1,261","1,294","1,188","1,143","1,141","1,133","1,123","1,125","1,107","1,084","1,424","1,045","1,026","1,008"
"Selling, General & Admin",958,913,917,983,846,812,730,743,775,769,744,726,768,732,716,707,702,710,662,638,650,452,680,671,686,669,677,658,657,647,630,665,641,647,650,744,633,643,639
Other Operating Expenses,338,327,324,322,260,249,281,248,243,243,244,253,244,254,257,244,235,241,248,237,233,446,178,193,168,178,190,169,154,163,168,176,169,177,160,204,177,175,149
Operating Expenses,"1,296","1,240","1,241","1,305","1,106","1,061","1,011",991,"1,018","1,012",988,979,"1,012",986,973,951,937,951,910,875,883,898,858,864,854,847,867,827,811,810,798,841,810,824,810,948,810,818,788
Operating Income,664,828,813,478,536,684,681,831,781,571,375,307,45,541,564,580,566,557,576,549,501,503,513,462,434,414,427,361,332,331,335,282,315,283,274,476,235,208,220
Other Expense / Income,23,32,25,32,24,32,26,32,23,32,25,28,22,23,17,18,15,15,7,-,7,-,7,-,7,-,7,-,7,-,7,-,-,-,-,-,-,-,-
Pretax Income,641,796,788,446,512,652,655,799,758,539,350,279,23,518,547,562,551,542,569,549,494,503,506,462,427,414,420,361,325,331,328,282,315,283,274,476,235,208,220
Income Tax,153,175,177,114,116,154,151,183,170,115,61,54,11,91,115,127,127,92,133,124,113,-163,165,144,114,132,130,118,109,110,115,92,106,86,85,163,69,56,76
Net Income,488,621,611,332,396,498,504,616,588,424,289,225,12,427,432,435,424,450,436,425,381,666,341,318,313,282,290,243,216,221,213,190,209,197,189,313,166,152,144
Net Income Growth,23.23%,24.70%,21.23%,-46.10%,-32.65%,17.45%,74.39%,173.78%,4800.00%,-0.70%,-33.10%,-48.28%,-97.17%,-5.11%,-0.92%,2.35%,11.29%,-32.43%,27.86%,33.65%,21.73%,136.17%,17.59%,30.86%,44.91%,27.60%,36.15%,27.89%,3.35%,12.18%,12.70%,-39.30%,25.90%,29.61%,31.25%,-,-,-,-
