Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",-0.05,0.67,0.19,0.43,1.41,0.5,0.35,0.3,0,0
Operating Expenses,-0.05,0.67,0.19,0.43,1.41,0.5,0.35,0.3,0,0
Operating Income,0.05,-0.67,-0.19,-0.43,-1.41,-0.5,-0.35,-0.3,-0,-0
Other Expense / Income,-1.87,-0.69,-1.8,-4.67,-0.8,-2.32,-0.76,-3.26,-,-
Pretax Income,1.92,0.01,1.61,4.24,-0.61,1.83,0.41,2.97,-0,-0
Income Tax,0.26,0.12,0.01,0,0,0,0,0,0,0
Net Income,1.66,-0.1,1.6,4.24,-0.61,1.83,0.41,2.97,-0,-0
Net Income Growth,-,-,291.31%,43.03%,-,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,19,19,19,19,3,3
Shares Outstanding (Diluted),19,19,19,19,19,19,19,19,3,3
Shares Change,-0.05%,-,-,-,475.28%,475.00%,-,-,-,-
EPS (Basic),0.09,-0.01,0.09,0.23,-0.04,0.10,0.02,0.79,-,-
EPS (Diluted),0.09,-0.01,0.09,0.23,-0.04,0.10,0.02,0.79,-,-
EPS Growth,-,-,350.00%,-70.89%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.03,-0.01,-0.06,-0.02,-0.02,-0.02,-,-
Effective Tax Rate,13.55%,901.59%,0.56%,-,-,-,-,-,-,-
EBITDA,1.92,0.01,1.61,4.24,-0.61,1.83,0.41,2.97,-0,-0
EBIT,1.92,0.01,1.61,4.24,-0.61,1.83,0.41,2.97,-0,-0
