Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Revenue,39.28,34.58,28.99,26.77,26.38,24.14,25.48,23.8,20.57,20.28,18.67,19.33,18.83,14.67,14.84,12.52,11.46,10.51,8.72,7.25,6.81,6.35,6.19,5.29,4.46,5.02,3.46,2.9,2.51,2.15,1.16,0
Revenue Growth (YoY),48.90%,43.23%,13.78%,12.50%,28.24%,19.03%,36.44%,23.14%,9.24%,38.28%,25.87%,54.39%,64.38%,39.56%,70.06%,72.64%,68.20%,65.53%,41.02%,37.02%,52.55%,26.52%,78.99%,82.26%,77.87%,133.69%,199.14%,-,-,-,-,-
Cost of Revenue,20.38,17.28,12.3,9.94,12.83,9.89,11.24,10.42,7.7,5.87,5.25,5.29,5.84,5.2,4.77,4.29,3.8,3.63,3.06,2.75,2.94,2.79,2.63,2.35,1.87,1.79,1.24,1.09,0.81,0.98,0.26,0.01
Gross Profit,18.9,17.29,16.69,16.84,13.56,14.25,14.24,13.38,12.88,14.41,13.42,14.04,12.99,9.47,10.06,8.23,7.66,6.88,5.66,4.5,3.87,3.56,3.56,2.94,2.59,3.23,2.21,1.81,1.7,1.16,0.89,-0.01
"Selling, General & Admin",0.89,0.81,0.78,0.79,0.81,0.67,0.82,0.81,0.81,0.79,0.73,0.61,0.86,0.66,0.64,0.61,0.59,0.55,0.54,0.53,0.51,0.48,0.5,0.47,0.47,0.46,0.45,0.48,0.39,0.37,0.35,0.01
Other Operating Expenses,0.31,0.29,0.31,0.26,0.45,0.25,0.52,0.5,0.5,0.4,0.35,0.36,0.34,0.37,0.25,0.24,0.23,0.24,0.24,0.22,0.21,0.19,0.2,0.19,0.2,0.15,0.18,0.19,0.23,0.19,0.18,0.04
Operating Expenses,1.21,1.1,1.08,1.05,1.27,0.92,1.34,1.3,1.31,1.19,1.09,0.97,1.2,1.03,0.89,0.85,0.83,0.8,0.78,0.75,0.72,0.68,0.7,0.67,0.67,0.62,0.63,0.67,0.62,0.56,0.53,0.06
Operating Income,17.69,16.2,15.6,15.79,12.29,13.33,12.9,12.08,11.57,13.22,12.34,13.07,11.79,8.44,9.18,7.38,6.83,6.08,4.88,3.75,3.14,2.88,2.86,2.27,1.92,2.62,1.58,1.14,1.07,0.61,0.36,-0.06
Interest Expense / Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,0.25,0
Other Expense / Income,9.72,13.5,18.33,16.42,-4.07,-0.35,-3.95,-21.61,-10.1,-21.3,-26.13,-43.46,86.1,-0.87,6.44,-1.14,-2.03,7.78,0.07,1.46,0.3,2.66,0.51,-0.7,-1.61,-1.74,-1.62,-1.88,-0.12,2.46,0.59,0.01
