Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Other Operating Expenses,0.5,0.27,0.52,0,0,0
Operating Expenses,0.5,0.27,0.52,0,-,-
Operating Income,-0.5,-0.27,-0.52,0,-,-
Other Expense / Income,-3.72,-2.66,-1.71,-,-,-
Pretax Income,3.22,2.38,1.19,0,-,-
Net Income,3.22,2.38,1.19,0,-,-
Shares Outstanding (Basic),23,32,20,6,6,-
Shares Outstanding (Diluted),23,32,20,6,-,-
Shares Change,311.48%,-,-,-,-,-
EPS (Basic),0.11,0.07,0.06,-,-,-
EPS (Diluted),0.11,0.07,0.06,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.07,-,-,-
EBITDA,3.22,2.38,1.19,0,-,-
EBIT,3.22,2.38,1.19,0,-,-
