Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-05
"Selling, General & Admin",0.27,0.28,0.34,0.41,0.34,0.11,0,0
Other Operating Expenses,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0
Operating Expenses,0.33,0.33,0.39,0.46,0.39,0.16,0.04,0
Operating Income,-0.33,-0.33,-0.39,-0.46,-0.39,-0.16,-0.04,-0
Other Expense / Income,-4.02,-2.96,-3.22,-3.84,-3.38,1.79,-,-
Pretax Income,3.69,2.63,2.83,3.38,2.99,-1.95,-0.04,-0
Income Tax,0.38,0.24,0,0,0,0,0,0
Net Income,3.3,2.39,2.83,3.38,2.99,-1.95,-0.04,-0
Net Income Growth,10.61%,-,-,-,-,-,-,-
Shares Outstanding (Basic),30,30,30,30,17,12,6,6
Shares Outstanding (Diluted),30,30,30,30,17,12,6,6
Shares Change,77.78%,144.68%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.11,0.08,0.09,0.11,0.26,-0.16,-0.01,-
EPS (Diluted),0.11,0.08,0.09,0.11,0.26,-0.16,-0.01,-
EPS Growth,-57.69%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.01,-0.09,-,-
Effective Tax Rate,10.39%,9.18%,-,-,-,-,-,-
EBITDA,3.69,2.63,2.83,3.38,2.99,-1.95,-0.04,-0
EBIT,3.69,2.63,2.83,3.38,2.99,-1.95,-0.04,-0
