Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-19
"Selling, General & Admin",0.09,0.08,0.53,0.39,0,0
Other Operating Expenses,0.19,0,0,0,0,0
Operating Expenses,0.28,0.08,0.53,0.39,0,0
Operating Income,-0.28,-0.08,-0.53,-0.39,-0,-0
Other Expense / Income,-0.44,-0.46,-0.12,-0.03,-,-
Pretax Income,0.16,0.38,-0.41,-0.37,-0,-0
Income Tax,0.23,0,0,0,0,0
Net Income,-0.07,0.38,-0.41,-0.37,-0,-0
Shares Outstanding (Basic),11,11,11,9,2,2
Shares Outstanding (Diluted),11,11,11,9,2,2
Shares Change,495.87%,500.40%,-,-,-,-
EPS (Basic),0.02,0.04,-0.03,-0.04,-,-0.00
EPS (Diluted),0.02,0.04,-0.03,-0.04,-,-0.00
Free Cash Flow Per Share,-,-0.03,-0.01,-0.04,-,-
Effective Tax Rate,147.29%,-,-,-,-,-
EBITDA,-,0.38,-0.41,-0.37,-,-0
EBIT,0.16,0.38,-0.41,-0.37,-0,-0
