Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.53,0.42,0.46,0.5,0.02,0,0
Operating Expenses,0.53,0.42,0.46,0.5,0.02,0,0
Operating Income,-0.53,-0.42,-0.46,-0.5,-0.02,-0,-0
Other Expense / Income,-2.48,-1.32,-0.33,-0.05,-,-,-
Pretax Income,1.95,0.9,-0.13,-0.46,-0.02,-0,-0
Income Tax,0.49,0.25,0.02,0,0,0,0
Net Income,1.46,0.65,-0.14,-0.46,-0.02,-0,-0
Shares Outstanding (Basic),28,36,36,32,6,6,6
Shares Outstanding (Diluted),28,36,36,32,6,6,6
Shares Change,346.14%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.09,-0.02,-0.01,-0.02,-,-,-
EPS (Diluted),0.09,-0.02,-0.01,-0.02,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.04,-0.00,-,-
Effective Tax Rate,25.03%,27.31%,-,-,-,-,-
EBITDA,1.95,0.9,-0.13,-0.46,-0.02,-,-
EBIT,1.95,0.9,-0.13,-0.46,-0.02,-0,-0
