Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.56,0.49,0.51,0.52,0.39,0.26,0.18
Operating Expenses,0.56,0.49,0.51,0.52,0.39,0.26,0.18
Operating Income,-0.56,-0.49,-0.51,-0.52,-0.39,-0.26,-0.18
Other Expense / Income,-3.07,-2.32,-4.56,-7.66,0.01,-,-
Pretax Income,2.5,1.84,4.05,7.14,-0.4,-0.26,-0.18
Income Tax,0.22,0,0,0,0,0,0
Net Income,2.28,1.84,4.05,7.14,-0.4,-0.26,-0.18
Shares Outstanding (Basic),29,29,29,29,7,5,5
Shares Outstanding (Diluted),29,29,29,29,7,5,5
Shares Change,298.45%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.08,0.06,0.14,0.25,-0.03,-0.05,-0.04
EPS (Diluted),0.08,0.06,0.14,0.25,-0.03,-0.05,-0.04
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.03,-,-,-
Effective Tax Rate,8.94%,-,-,-,-,-,-
EBITDA,2.5,1.84,4.05,7.14,-0.4,-0.26,-0.18
EBIT,2.5,1.84,4.05,7.14,-0.4,-0.26,-0.18
