Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.91,0.4,0.43,0.5,1.03,0.74,0.26,0.16,0.12,0
Operating Expenses,0.91,0.4,0.43,0.5,1.03,0.74,0.26,0.16,0.12,0
Operating Income,-0.91,-0.4,-0.43,-0.5,-1.03,-0.74,-0.26,-0.16,-0.12,-0
Other Expense / Income,-0.8,-1.26,-1.35,-2.15,-0.93,-2.21,-0.16,-0.99,4.07,-
Pretax Income,-0.11,0.87,0.92,1.65,-0.11,1.48,-0.1,0.83,-4.19,-0
Income Tax,0.05,0.02,0,0,0,0,0,0,0,0
Net Income,-0.16,0.84,0.92,1.65,-0.11,1.48,-0.1,0.83,-4.19,-0
Net Income Growth,-,-42.80%,-,97.85%,-,-,-,-,-,-
Shares Outstanding (Basic),11,9,13,16,16,16,16,16,7,3
Shares Outstanding (Diluted),11,9,13,16,16,16,16,16,7,3
Shares Change,-28.71%,-43.63%,-18.28%,-,132.51%,474.75%,-,-,-,-
EPS (Basic),0.01,0.09,0.07,0.10,-0.01,0.09,-0.01,0.05,-0.60,-
EPS (Diluted),0.01,0.09,0.07,0.10,-0.01,0.09,-0.01,0.05,-0.60,-
EPS Growth,-,0%,-,100.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.02,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-
Effective Tax Rate,-,2.68%,0.47%,-,-,-,-,-,-,-
EBITDA,-0.11,0.87,0.92,1.65,-0.11,1.48,-0.1,0.83,-4.19,-0
EBIT,-0.11,0.87,0.92,1.65,-0.11,1.48,-0.1,0.83,-4.19,-0
