Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.3,0.17,0.31,0.32,0.55,0.27,0.17,0.08,0,0
Operating Expenses,0.3,0.17,0.31,0.32,0.55,0.27,0.17,0.08,0,0
Operating Income,-0.3,-0.17,-0.31,-0.32,-0.55,-0.27,-0.17,-0.08,-0,-0
Other Expense / Income,-3.46,-1.84,-2.63,-2.84,-1.9,-2.77,1.75,0.01,-,-
Pretax Income,3.15,1.67,2.33,2.53,1.35,2.5,-1.92,-0.09,-0,-0
Income Tax,0.61,0.29,0.07,0,0,0,0,0,0,0
Net Income,2.54,1.38,2.25,2.53,1.35,2.5,-1.92,-0.09,-0,-0
Net Income Growth,87.84%,-44.79%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),44,44,44,44,44,44,44,19,8,8
Shares Outstanding (Diluted),44,44,44,44,44,44,44,19,8,8
Shares Change,-0.15%,-,-,130.01%,491.44%,490.53%,-,-,-,-
EPS (Basic),0.06,0.03,0.05,0.06,0.04,0.06,-0.04,-,-,-
EPS (Diluted),0.06,0.03,0.05,0.06,0.04,0.06,-0.04,-,-,-
EPS Growth,50.00%,-50.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-,-
Effective Tax Rate,19.49%,17.54%,3.15%,-,-,-,-,-,-,-
EBITDA,3.15,1.67,2.33,2.53,1.35,2.5,-1.92,-0.09,-0,-0
EBIT,3.15,1.67,2.33,2.53,1.35,2.5,-1.92,-0.09,-0,-0
