Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-11-02
"Selling, General & Admin",0.61,0.51,0.38,0.42,0.03,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0,0
Operating Expenses,0.67,0.56,0.43,0.47,0.03,0
Operating Income,-0.67,-0.56,-0.43,-0.47,-0.03,-0
Other Expense / Income,-2.52,-1.47,-0.44,0.11,-,-
Pretax Income,1.85,0.91,0.01,-0.58,-0.03,-0
Income Tax,0.64,0,0,0,0,0
Net Income,1.21,0.91,0.01,-0.58,-0.03,-0
Shares Outstanding (Basic),42,36,36,30,8,7
Shares Outstanding (Diluted),42,36,36,30,8,7
Shares Change,451.32%,451.97%,-,-,-,-
EPS (Basic),0.03,0.02,-,-0.02,-,-
EPS (Diluted),0.03,0.02,-,-0.02,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,0.00,-
Effective Tax Rate,34.54%,-,-,-,-,-
EBITDA,1.85,0.91,0.01,-0.58,-0.03,-0
EBIT,1.85,0.91,0.01,-0.58,-0.03,-0
