Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.49,0.42,0.37,0.39,0.2,0.48,0.09,0.02
Operating Expenses,0.49,0.42,0.37,0.39,0.2,0.48,0.09,0.02
Operating Income,-0.49,-0.42,-0.37,-0.39,-0.2,-0.48,-0.09,-0.02
Other Expense / Income,-2,-0.9,-1.35,-3.59,-0.65,-3.44,-0.25,-
Pretax Income,1.51,0.48,0.98,3.2,0.45,2.96,0.16,-0.02
Net Income,1.51,0.48,0.98,3.2,0.45,2.96,0.16,-0.02
Net Income Growth,236.88%,-83.72%,507.23%,-,-,-,-,-
Shares Outstanding (Basic),18,18,18,18,12,18,5,3
Shares Outstanding (Diluted),18,18,18,18,12,18,6,3
Shares Change,44.84%,-,209.52%,475.00%,-,-,-,-
EPS (Basic),0.08,0.03,0.05,0.18,-0.01,0.16,0.03,-0.01
EPS (Diluted),0.08,0.03,0.05,0.18,-,0.16,0.03,-0.01
EPS Growth,-,-81.25%,66.67%,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.01,-0.00,-0.12,-0.00,-
EBITDA,1.51,0.48,0.98,3.2,0.45,2.96,0.16,-0.02
EBIT,1.51,0.48,0.98,3.2,0.45,2.96,0.16,-0.02
