Metrics,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-30,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2019-10-31
Revenue,25.92,24.7,21.24,18.64,18.27,17.8,15.73,15.97,15.42,-,-
Revenue Growth (YoY),41.89%,38.80%,35.03%,16.69%,18.44%,-,-,-,-,-,-
Gross Profit,25.92,24.7,21.24,18.64,18.27,17.8,15.73,15.97,15.42,-,-
"Selling, General & Admin",12.34,13.77,13.22,11.77,10.64,10.38,8.2,8.34,8.09,-,-
Other Operating Expenses,0.39,-0.25,0.17,0.08,0,0.16,0.1,-0.31,0.06,0,0
Operating Expenses,12.72,13.53,13.38,11.85,10.64,10.54,8.3,8.03,8.14,-,-
Operating Income,13.2,11.18,7.86,6.79,7.63,7.26,7.43,7.94,7.28,-,-
Other Expense / Income,-,0.9,-,-,-,-0.88,-,-,-,-,-
Pretax Income,13.2,10.27,7.86,6.79,7.63,8.14,7.43,7.94,7.28,-,-
Income Tax,3.78,3.84,2.14,1.85,2.06,2.23,2,2.2,1.99,-,-
Net Income,9.42,6.43,5.72,4.94,5.57,5.91,5.44,5.74,5.29,-,-
Net Income Growth,69.19%,8.78%,5.22%,-13.94%,5.22%,-,-,-,-,-,-
Shares Outstanding (Basic),27,27,27,27,27,24,21,21,21,21,21
Shares Outstanding (Diluted),27,27,27,27,27,24,21,21,21,-,-
Shares Change,-1.52%,15.81%,29.91%,29.91%,29.91%,11.92%,-,-,-,-,-
EPS (Basic),0.34,0.23,0.20,0.17,0.19,0.24,0.25,0.25,0.22,-,-
EPS (Diluted),0.34,0.23,0.20,0.17,0.19,0.24,0.25,0.25,0.22,-,-
EPS Growth,78.95%,-4.17%,-20.00%,-32.00%,-13.64%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,3.71,-4.88,-0.01,-0.00,-4.22,-,-0.04,-0.36,-,-
Dividend Per Share,-,0.018,0.019,0.020,0.020,0.025,-,-,-,-,-
Dividend Growth,-,-28.00%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,50.92%,45.24%,36.99%,36.44%,41.76%,40.80%,47.26%,49.72%,47.19%,-,-
Profit Margin,36.33%,26.03%,26.93%,26.53%,30.47%,33.21%,34.56%,35.97%,34.30%,-,-
Free Cash Flow Margin,-0.10%,410.96%,-630.81%,-0.87%,-0.18%,-560.80%,-,-5.97%,-48.89%,-,-
Effective Tax Rate,28.65%,37.42%,27.20%,27.20%,27.03%,27.38%,26.87%,27.66%,27.32%,-,-
EBITDA,13.67,10.78,8.32,7.27,8.12,8.59,7.89,8.31,7.73,-,-
EBITDA Margin,52.72%,43.64%,39.15%,39.03%,44.44%,48.29%,50.13%,52.05%,50.10%,-,-
Depreciation & Amortization,0.47,0.51,0.46,0.48,0.49,0.46,0.45,0.37,0.45,-,-
EBIT,13.2,10.27,7.86,6.79,7.63,8.14,7.43,7.94,7.28,-,-
EBIT Margin,50.92%,41.59%,36.99%,36.44%,41.76%,45.72%,47.26%,49.72%,47.19%,-,-
