Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,8.32,27.24,-28.06,19.55,72.9,55.28,37.39,41.69,22.1,15.91,8.65,7.14,4.38
Revenue Growth (YoY),-88.58%,-50.72%,-,-53.11%,229.90%,247.53%,332.05%,483.67%,403.93%,-,-,-,-
Cost of Revenue,16.72,8.38,-1.26,-203.1,-47.33,-36.35,-25.86,-56.71,8.15,7.41,0.96,1.39,2.49
Gross Profit,-8.4,18.86,-26.79,222.64,120.22,91.63,63.25,98.4,13.94,8.49,7.69,5.75,1.9
"Selling, General & Admin",3.25,3.24,3.37,4.31,2.86,2.05,1.73,3.1,0.91,0.18,0.94,0.95,1.13
Other Operating Expenses,2.56,1.95,0.95,14.61,1.67,1.48,2.32,0.79,0.21,0.51,0.4,0.32,0.06
Operating Expenses,5.8,5.18,4.32,18.92,4.53,3.53,4.05,3.89,1.12,0.7,1.34,1.26,1.19
Operating Income,-14.21,13.68,-31.11,203.72,115.69,88.1,59.2,94.51,12.82,7.79,6.35,4.49,0.71
Interest Expense / Income,0,0.94,0.99,0.74,0,0.89,0.91,0.87,0.11,0.12,0.11,0.16,0.15
Other Expense / Income,76.21,49.91,63.16,258.54,64.5,48.28,34.82,97.81,-4.5,-1.53,4.44,2.58,-2.83
Pretax Income,-90.42,-37.17,-95.26,-55.56,51.19,38.93,23.47,-4.18,17.21,9.21,1.8,1.75,3.39
Income Tax,-0.41,-0.13,0,2.42,0,0,0,0.15,0,0,0,0.83,0
Net Income,-90.01,-37.04,-95.26,-57.98,51.19,38.93,23.47,-4.33,17.21,9.21,1.8,0.92,3.39
Net Income Growth,-,-,-,-,197.45%,322.62%,1205.04%,-,407.98%,-,-,-,-
Shares Outstanding (Basic),83,82,82,81,78,76,75,71,69,69,73,65,65
Shares Outstanding (Diluted),83,82,82,96,82,80,79,76,73,71,75,65,65
Shares Change,0.35%,2.63%,3.84%,25.45%,13.41%,12.79%,5.25%,16.53%,11.09%,-,-,-,-
EPS (Basic),-1.09,-0.45,-1.16,-0.78,0.66,0.51,0.31,-0.05,0.25,0.15,-,-,0.05
EPS (Diluted),-1.09,-0.45,-1.16,-0.76,0.62,0.49,0.30,-0.07,0.25,0.15,-,-,0.05
EPS Growth,-,-,-,-,148.00%,226.67%,-,-,400.00%,-,-,-,-
Free Cash Flow Per Share,-0.01,0.07,0.01,-0.64,-0.49,-0.46,-0.25,-0.56,-0.07,0.07,-0.03,0.00,-
Gross Margin,-100.98%,69.23%,-,1139.04%,164.92%,165.77%,169.17%,236.04%,63.11%,53.40%,88.87%,80.54%,43.25%
Operating Margin,-170.73%,50.20%,-,1042.23%,158.70%,159.38%,158.34%,226.71%,58.03%,49.01%,73.38%,62.86%,16.15%
Profit Margin,-1081.68%,-135.96%,-,-296.61%,70.23%,70.42%,62.78%,-10.38%,77.89%,57.91%,20.79%,12.90%,77.27%
Free Cash Flow Margin,-8.71%,20.71%,-,-265.30%,-51.87%,-63.13%,-50.88%,-95.48%,-21.72%,31.35%,-22.31%,1.49%,-
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,47.42%,-
EBITDA,-70.08,-11.91,-68.52,-19.32,66.18,49.44,31.28,1.46,19.8,11.12,3.54,4.36,-
EBITDA Margin,-842.19%,-43.71%,-,-98.84%,90.79%,89.45%,83.66%,3.51%,89.60%,69.94%,40.95%,61.05%,-
Depreciation & Amortization,20.34,24.32,25.75,35.5,14.99,9.63,6.9,4.77,2.48,1.8,1.63,2.45,-
EBIT,-90.42,-36.23,-94.28,-54.82,51.19,39.82,24.38,-3.3,17.32,9.33,1.91,1.91,3.54
EBIT Margin,-1086.62%,-133.00%,-,-280.48%,70.23%,72.03%,65.21%,-7.93%,78.39%,58.64%,22.11%,26.74%,80.77%
