Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,30.05,27.04,33.25,41.82,40.33,59.6,44.77,36.69,28.43,11.32,6.8,7.37,9.21,-
Revenue Growth (YoY),-25.49%,-54.63%,-25.74%,13.98%,41.84%,426.30%,558.93%,397.65%,208.64%,-,-,-,-,-
Cost of Revenue,38.4,39.12,37.19,32.31,23.29,20.61,15.31,13.33,9.12,8.58,7.83,7.51,7.92,-
Gross Profit,-8.35,-12.08,-3.94,9.5,17.04,38.99,29.47,23.36,19.31,2.74,-1.03,-0.13,1.3,-
"Selling, General & Admin",8.36,11.97,10.3,15.39,13.84,18.93,10.88,10.61,2.82,2.27,1.81,1.37,2.81,-
Other Operating Expenses,-1.72,-4.04,83.55,166.26,-3.68,5.05,-15.51,14.84,0,-0.07,0,-0.02,0,0
Operating Expenses,6.64,7.94,93.85,181.65,10.16,23.98,-4.62,25.45,2.82,2.2,1.81,1.35,2.81,-
Operating Income,-15,-20.02,-97.78,-172.14,6.87,15,34.09,-2.09,16.49,0.54,-2.84,-1.48,-1.51,-
Interest Expense / Income,0,-3.37,-8.25,-11.86,0,-2.93,-0.62,1.13,23.43,5.46,1.36,1.55,1.02,-
Other Expense / Income,-12.19,-,-,0.95,-4.08,-,-,-0.15,-,0.18,0.56,0.71,-,-
Pretax Income,-2.81,-16.65,-89.53,-161.23,10.96,17.94,34.71,-3.07,-6.94,-5.09,-4.76,-3.73,-2.53,-
Income Tax,-0.33,0.19,-4.73,-19.32,6.44,8.26,10.97,0.6,0.67,0.28,0,-0,-0.11,-
Net Income,-2.48,-16.84,-84.81,-141.92,4.52,9.68,23.73,-3.68,-7.61,-5.37,-4.76,-3.73,-2.42,-
Shares Outstanding (Basic),233,220,210,204,198,188,167,152,124,85,85,85,84,67
Shares Outstanding (Diluted),233,220,210,204,201,199,177,152,124,85,85,85,84,-
Shares Change,15.54%,10.16%,18.99%,33.92%,62.47%,134.21%,109.19%,79.50%,47.39%,26.94%,-,-,-,-
EPS (Basic),-0.01,-0.06,-0.40,-0.70,0.02,0.06,0.14,-0.02,-0.06,-0.06,-0.06,-0.04,-0.03,-
EPS (Diluted),-0.01,-0.06,-0.40,-0.70,0.02,0.05,0.13,-0.02,-0.06,-0.06,-0.06,-0.04,-0.03,-
Free Cash Flow Per Share,-0.02,0.07,-0.08,-0.24,-0.55,-0.38,-0.27,-0.54,-0.30,0.04,0.00,-0.01,0.01,-
Gross Margin,-27.80%,-44.69%,-11.85%,22.73%,42.25%,65.41%,65.81%,63.66%,67.92%,24.23%,-15.19%,-1.82%,14.06%,-
Operating Margin,-49.91%,-74.05%,-294.11%,-411.68%,17.04%,25.18%,76.14%,-5.70%,58.00%,4.80%,-41.81%,-20.10%,-16.39%,-
Profit Margin,-8.25%,-62.30%,-255.08%,-339.39%,11.21%,16.24%,53.01%,-10.02%,-26.75%,-47.46%,-70.07%,-50.60%,-26.31%,-
Free Cash Flow Margin,-15.54%,55.19%,-50.33%,-118.17%,-267.65%,-118.98%,-100.79%,-224.19%,-130.78%,32.35%,1.78%,-10.09%,6.27%,-
Effective Tax Rate,-,-,-,-,58.76%,46.05%,31.62%,-,-,-,-,-,-,-
EBITDA,17.89,0.76,-77.06,-155.23,24.02,25.29,40.35,2.98,19.5,3.2,-0.48,0.56,1.47,-
EBITDA Margin,59.54%,2.80%,-231.79%,-371.24%,59.57%,42.44%,90.12%,8.11%,68.58%,28.26%,-7.01%,7.61%,15.96%,-
Depreciation & Amortization,20.7,20.78,20.72,17.86,13.07,10.29,6.26,4.92,3.01,2.83,2.92,2.75,2.98,-
EBIT,-2.81,-20.02,-97.78,-173.09,10.96,15,34.09,-1.94,16.49,0.37,-3.4,-2.19,-1.51,-
EBIT Margin,-9.35%,-74.05%,-294.11%,-413.94%,27.17%,25.18%,76.14%,-5.30%,58.00%,3.23%,-50.01%,-29.69%,-16.39%,-
