Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Revenue,19.51,22.72,19.05,16.69,16.11,14.46,14.84,15.64,13.96,12.98,11.37,8.63,11.07,10.73,11.19,10.81,10.12,-
Revenue Growth (YoY),21.08%,57.17%,28.32%,6.71%,15.43%,11.39%,30.59%,81.21%,26.06%,20.95%,1.54%,-20.18%,9.42%,-,-,-,-,-
Gross Profit,19.51,22.72,19.05,16.69,16.11,14.46,14.84,15.64,13.96,12.98,11.37,8.63,11.07,10.73,11.19,10.81,10.12,-
"Selling, General & Admin",9.66,9.39,9.43,9.01,9,8.02,8.83,8.07,8.14,8.77,8.55,3.79,8.14,7.45,6.92,5.59,5.26,-
Other Operating Expenses,2.18,2.33,1.78,1.81,1.91,1.99,1.68,1.77,1.94,1.65,2,2.65,2.27,2.38,1.48,1.79,2.36,0
Operating Expenses,11.84,11.71,11.22,10.82,10.92,10.01,10.51,9.84,10.08,10.42,10.55,6.44,10.41,9.83,8.4,7.38,7.62,-
Operating Income,7.66,11.01,7.83,5.87,5.19,4.45,4.33,5.81,3.88,2.56,0.82,2.19,0.67,0.91,2.8,3.43,2.5,-
Pretax Income,7.66,11.01,7.83,5.87,5.19,4.45,4.33,5.81,3.88,2.56,0.82,2.19,0.67,0.91,2.8,3.43,2.5,-
Income Tax,2.21,3.34,2.31,1.63,1.52,1.27,1.11,1.65,1.07,0.78,0.33,0.64,0.19,0.33,0.79,0.88,0.64,-
Net Income,5.45,7.67,5.52,4.24,3.67,3.18,3.22,4.16,2.81,1.79,0.5,1.55,0.47,0.58,2,2.55,1.87,-
Net Income Growth,48.41%,141.09%,71.70%,1.97%,30.76%,78.21%,549.70%,168.52%,493.87%,208.29%,-75.30%,-39.22%,-74.68%,-,-,-,-,-
Shares Outstanding (Basic),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
Shares Outstanding (Diluted),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-
Shares Change,1.18%,1.36%,1.14%,1.21%,1.82%,1.50%,1.73%,1.58%,0.89%,0.37%,0.42%,0.51%,0.83%,14.69%,-,-,-,-
EPS (Basic),0.65,0.92,0.66,0.51,0.44,0.39,0.39,0.51,0.34,0.22,0.06,0.19,0.06,0.07,0.25,0.32,0.23,-
EPS (Diluted),0.64,0.91,0.66,0.51,0.44,0.38,0.39,0.50,0.34,0.22,0.06,0.19,0.06,0.07,0.25,0.31,0.23,-
EPS Growth,45.45%,139.47%,69.23%,2.00%,29.41%,72.73%,550.00%,163.16%,466.67%,214.29%,-76.00%,-38.71%,-73.91%,-,-,-,-,-
Free Cash Flow Per Share,0.32,1.62,0.82,1.05,-0.06,0.66,0.58,0.30,0.40,0.21,0.57,0.61,-0.02,0.37,0.57,0.12,0.17,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,39.29%,48.45%,41.11%,35.18%,32.24%,30.77%,29.17%,37.12%,27.78%,19.75%,7.22%,25.39%,6.01%,8.43%,24.97%,31.74%,24.75%,-
Profit Margin,27.95%,33.75%,28.99%,25.43%,22.80%,22.00%,21.67%,26.61%,20.13%,13.75%,4.36%,17.96%,4.27%,5.40%,17.90%,23.58%,18.46%,-
Free Cash Flow Margin,13.82%,59.43%,35.74%,52.06%,-3.05%,37.78%,32.35%,15.73%,23.67%,13.44%,40.91%,57.73%,-1.18%,28.17%,41.33%,8.60%,13.80%,-
Effective Tax Rate,28.87%,30.34%,29.48%,27.74%,29.28%,28.48%,25.73%,28.33%,27.55%,30.36%,39.71%,29.29%,28.87%,36.02%,28.30%,25.70%,25.40%,-
EBITDA,7.91,11.32,8.22,6.26,5.58,4.85,4.01,6.9,4.28,2.97,1.17,2.52,0.98,1.25,2.97,3.61,2.69,-
EBITDA Margin,40.57%,49.81%,43.16%,37.53%,34.64%,33.55%,26.99%,44.11%,30.63%,22.85%,10.30%,29.23%,8.85%,11.60%,26.56%,33.39%,26.55%,-
Depreciation & Amortization,0.25,0.31,0.39,0.39,0.39,0.4,-0.32,1.09,0.4,0.4,0.35,0.33,0.32,0.34,0.18,0.18,0.18,-
EBIT,7.66,11.01,7.83,5.87,5.19,4.45,4.33,5.81,3.88,2.56,0.82,2.19,0.67,0.91,2.8,3.43,2.5,-
EBIT Margin,39.29%,48.45%,41.11%,35.18%,32.24%,30.77%,29.17%,37.12%,27.78%,19.75%,7.22%,25.39%,6.01%,8.43%,24.97%,31.74%,24.75%,-
