Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.56,0.14,0.64,0.12,0.03,0
Other Operating Expenses,0.2,0,0,0,0.11,0
Operating Expenses,0.76,0.14,0.64,0.12,0.14,0
Operating Income,-0.76,-0.14,-0.64,-0.12,-0.14,-0
Other Expense / Income,-0.74,-0.27,-0.15,0.06,-,-
Pretax Income,-0.02,0.14,-0.49,-0.18,-0.14,-0
Income Tax,0.17,0,0,0,0,0
Net Income,-0.18,0.14,-0.49,-0.18,-0.14,-0
Shares Outstanding (Basic),3,3,3,3,3,3
Shares Outstanding (Diluted),3,3,3,3,3,3
Shares Change,18.26%,19.02%,-,-,-,-
EPS (Basic),-0.06,0.04,-0.18,-0.07,-0.06,-
EPS (Diluted),-0.06,0.04,-0.18,-0.07,-0.06,-
Free Cash Flow Per Share,-0.06,-0.07,-0.15,-0.13,-0.01,-
EBITDA,-0.02,0.14,-0.49,-0.18,-0.14,-0
EBIT,-0.02,0.14,-0.49,-0.18,-0.14,-0
