Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.59,0.69,0.72,0.78,4.27,0.27,0,0.01,0
Operating Expenses,0.59,0.69,0.72,0.78,4.27,0.27,0,0.01,0
Operating Income,-0.59,-0.69,-0.72,-0.78,-4.27,-0.27,-0,-0.01,-0
Other Expense / Income,-3.54,5.61,-7.83,-5.3,-3.02,-0.59,-,-,-
Pretax Income,2.95,-6.3,7.11,4.52,-1.25,0.32,-0,-0.01,-0
Income Tax,0.42,0.59,0,0,0,0,0,0,0
Net Income,2.53,-6.89,7.11,4.52,-1.25,0.32,-0,-0.01,-0
Shares Outstanding (Basic),25,25,25,25,25,9,4,5,5
Shares Outstanding (Diluted),25,25,25,25,25,9,4,5,5
Shares Change,-,165.24%,475.00%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.10,-0.27,0.28,0.18,-0.05,0.03,-,-,-
EPS (Diluted),0.10,-0.27,0.28,0.18,-0.05,0.03,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.06,-0.00,-,-
Effective Tax Rate,14.22%,-,-,-,-,-,-,-,-
EBITDA,2.95,-6.3,7.11,4.52,-1.25,0.32,-0,-0.01,-0
EBIT,2.95,-6.3,7.11,4.52,-1.25,0.32,-0,-0.01,-0
