Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",6.05,-1.66,0.94,0.08,0.02,0,0
Operating Expenses,6.05,-1.66,0.94,0.08,0.02,0,0
Operating Income,-6.05,1.66,-0.94,-0.08,-0.02,0,0
Other Expense / Income,-6.36,2.76,-0.09,-0.06,-0.01,-,-
Pretax Income,0.3,-1.11,-0.84,-0.02,-0,0,0
Net Income,0.3,-1.11,-0.84,-0.02,-0,0,0
Shares Outstanding (Basic),13,14,4,9,1,3,0
Shares Outstanding (Diluted),13,14,4,9,1,3,0
Shares Change,750.96%,370.57%,6495.50%,-,-,-,-
EPS (Basic),0.03,-0.08,-0.06,-,-,-,-
EPS (Diluted),0.03,-0.08,-0.06,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.04,-,-,0.12
EBITDA,0.3,-1.11,-0.84,-0.02,-0,0,0
EBIT,0.3,-1.11,-0.84,-0.02,-0,0,0
