Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,"2,357","1,896","3,009","5,168","3,146","3,318","3,615","2,950","1,153",516,"1,840","-2,550","12,609","1,676","3,078","3,160","1,714","5,146","1,083","2,966","2,874","2,922","2,806","3,882","2,830",-
Revenue Growth (YoY),-25.08%,-42.86%,-16.76%,75.19%,172.85%,543.02%,96.47%,-,-90.86%,-69.21%,-40.22%,-,635.65%,-67.43%,184.21%,6.54%,-40.36%,76.11%,-61.40%,-23.60%,1.55%,-,-,-,-,-
Cost of Revenue,"1,217","1,193","1,003","1,223",670,"1,014","1,056","1,137","1,230","1,072","1,340","1,043","3,093","1,153","2,055","1,210","1,184","1,294",596,"1,168",865,718,"1,332","1,983","1,339",-
Gross Profit,"1,140",703,"2,006","3,945","2,476","2,304","2,559","1,813",-77,-556,500,"-3,593","9,516",523,"1,023","1,950",530,"3,852",487,"1,798","2,009","2,204","1,474","1,899","1,491",-
"Selling, General & Admin","1,115",999,"1,039","1,072","1,161","1,181","1,114","1,071","1,049","1,025",935,933,"2,167","1,003",947,996,988,971,610,992,"1,042",922,935,833,934,-
Other Operating Expenses,423,572,497,583,534,598,456,447,608,392,436,434,438,575,449,456,410,463,430,424,493,461,450,414,689,0
Operating Expenses,"1,538","1,571","1,536","1,655","1,695","1,779","1,570","1,518","1,657","1,417","1,371","1,367","2,605","1,578","1,396","1,452","1,398","1,434","1,040","1,416","1,535","1,383","1,385","1,247","1,623",-
Operating Income,-398,-868,470,"2,290",781,525,989,295,"-1,734","-1,973",-871,"-4,960","6,911","-1,055",-373,498,-868,"2,418",-553,382,474,821,89,652,-132,-
Interest Expense / Income,61,53,51,50,47,60,59,51,74,48,52,48,52,54,54,57,56,60,65,60,46,45,42,38,35,-
Other Expense / Income,89,76,54,45,67,134,93,100,88,102,74,86,37,96,68,67,66,61,53,97,123,144,96,90,93,-
Pretax Income,-548,-997,365,"2,195",667,331,837,144,"-1,896","-2,123",-997,"-5,094","6,822","-1,205",-495,374,-990,"2,297",-671,225,305,632,-49,524,-260,-
Income Tax,-725,-208,92,467,137,77,165,21,-408,-885,-218,"-1,075","1,434",-259,-121,11,-215,324,-175,61,91,149,-59,-84,30,-
Net Income,177,-789,273,"1,728",530,254,672,123,"-1,488","-1,238",-779,"-4,019","5,388",-946,-374,363,-775,"1,973",-496,164,214,483,10,608,-290,-
Preferred Dividends,14,26,14,26,14,26,14,26,13,19,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0,-
Net Income Common,163,-815,259,"1,702",516,228,658,97,"-1,501","-1,257",-790,"-4,029","5,375",-946,-374,363,-775,"1,973",-496,164,214,483,10,608,-290,-
Net Income Growth,-68.41%,-,-60.64%,1654.64%,-,-,-,-,-,-,-,-,-,-,-,121.34%,-,308.49%,-,-73.03%,-,-,-,-,-,-
Shares Outstanding (Basic),362,369,375,379,389,400,411,424,434,443,448,450,461,475,490,491,518,544,560,561,561,561,561,561,561,561
Shares Outstanding (Diluted),364,371,377,381,392,400,415,428,434,439,448,450,464,475,490,492,518,545,560,561,561,561,561,561,561,-
Shares Change,-7.05%,-7.27%,-9.12%,-11.14%,-9.79%,-8.95%,-7.35%,-4.91%,-6.32%,-7.52%,-8.75%,-8.44%,-10.52%,-12.76%,-12.46%,-12.33%,-7.66%,-2.94%,-0.14%,0.02%,-,-,-,-,-,-
EPS (Basic),0.45,-2.10,0.69,4.49,1.33,0.52,1.60,0.23,-3.46,-2.79,-1.77,-8.94,11.66,-1.93,-0.76,0.74,-1.50,3.54,-0.89,0.29,0.38,0.86,0.02,1.08,-0.52,-
EPS (Diluted),0.45,-2.09,0.69,4.47,1.32,0.52,1.59,0.23,-3.46,-2.78,-1.77,-8.94,11.60,-1.93,-0.76,0.74,-1.50,3.54,-0.89,0.29,0.38,0.86,0.02,1.08,-0.52,-
EPS Growth,-65.91%,-,-56.60%,1843.48%,-,-,-,-,-,-,-,-,-,-,-,155.17%,-,311.63%,-,-73.15%,-,-,-,-,-,-
Free Cash Flow Per Share,-1.67,-0.46,-0.01,-0.30,-1.56,-1.07,0.49,-1.44,-0.09,-0.29,1.20,0.02,-1.27,0.12,0.20,-0.69,-0.24,0.29,0.30,-0.21,-0.48,-2.36,0.63,1.02,0.09,-
Dividend Per Share,0.200,0.200,0.200,0.200,0.180,0.180,0.180,0.180,0.170,0.170,0.170,0.170,0.150,0.150,0.150,0.150,0.130,0.130,0.130,-,-,-,-,-,-,-
Dividend Growth,11.11%,11.11%,11.11%,11.11%,5.88%,5.88%,5.88%,5.88%,13.33%,13.33%,13.33%,13.33%,15.38%,15.38%,15.38%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,48.37%,37.08%,66.67%,76.34%,78.70%,69.44%,70.79%,61.46%,-6.68%,-107.75%,27.17%,-,75.47%,31.21%,33.24%,61.71%,30.92%,74.85%,44.97%,60.62%,69.90%,75.43%,52.53%,48.92%,52.69%,-
Operating Margin,-16.89%,-45.78%,15.62%,44.31%,24.83%,15.82%,27.36%,10.00%,-150.39%,-382.36%,-47.34%,-,54.81%,-62.95%,-12.12%,15.76%,-50.64%,46.99%,-51.06%,12.88%,16.49%,28.10%,3.17%,16.80%,-4.66%,-
Profit Margin,6.92%,-42.99%,8.61%,32.93%,16.40%,6.87%,18.20%,3.29%,-130.18%,-243.60%,-42.93%,-,42.63%,-56.44%,-12.15%,11.49%,-45.22%,38.34%,-45.80%,5.53%,7.45%,16.53%,0.36%,15.66%,-10.25%,-
Free Cash Flow Margin,-25.67%,-9.02%,-0.13%,-2.21%,-19.29%,-12.93%,5.53%,-20.68%,-3.21%,-25.00%,29.18%,-,-4.63%,3.28%,3.25%,-10.73%,-7.29%,3.05%,15.60%,-3.94%,-9.43%,-45.24%,12.62%,14.68%,1.87%,-
Effective Tax Rate,-,-,25.21%,21.28%,20.54%,23.26%,19.71%,14.58%,-,-,-,-,21.02%,-,-,2.94%,-,14.11%,-,27.11%,29.84%,23.58%,-,-16.03%,-,-
